Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
3,GroupedMatmul,MIX_AIC,48,1505.56,21.06,31.365,43.32,34.294
3,MatMul,AI_CORE,73,1361.78,3.74,18.654,386.32,31.019
3,IncreFlashAttention,MIX_AIC,24,578.28,21.1,24.095,34.46,13.172
3,InplaceAddRmsNorm,AI_VECTOR_CORE,96,267.92,1.86,2.79,6.86,6.103
3,MoeInitRoutingV3,MIX_AIV,24,169.6,6.4,7.066,13.18,3.863
3,MoeGatingTopKSoftmax,AI_VECTOR_CORE,24,79.14,2.88,3.297,4.46,1.803
3,Scatter,AI_VECTOR_CORE,48,74.98,1.38,1.562,1.86,1.708
3,MoeFinalizeRoutingV2,AI_VECTOR_CORE,24,69.9,2.7,2.912,3.18,1.592
3,ApplyRotaryPosEmb,AI_VECTOR_CORE,24,64.2,2.36,2.675,3.64,1.462
3,SplitVD,AI_VECTOR_CORE,48,56.68,1.02,1.18,1.44,1.291
3,AutomaticBufferFusionOp,AI_VECTOR_CORE,24,50.12,1.9,2.088,2.4,1.142
3,RealDiv,AI_VECTOR_CORE,24,26.82,1.02,1.117,1.38,0.611
3,ReduceSumD,AI_VECTOR_CORE,24,25.6,0.96,1.066,1.24,0.583
3,Fill,AI_VECTOR_CORE,2,11.52,2.1,5.76,9.42,0.262
3,GatherV2,AI_VECTOR_CORE,2,10.04,1.56,5.02,8.48,0.229
3,Range,AI_VECTOR_CORE,1,8.8,8.8,8.8,8.8,0.2
3,BroadcastTo,AI_VECTOR_CORE,1,5.92,5.92,5.92,5.92,0.135
3,Data,AI_VECTOR_CORE,1,5.58,5.58,5.58,5.58,0.127
3,Unpack,AI_VECTOR_CORE,3,5.54,1.14,1.846,2.98,0.126
3,Cast,AI_VECTOR_CORE,3,4.82,0.98,1.606,2.58,0.11
3,RmsNorm,AI_VECTOR_CORE,1,3.86,3.86,3.86,3.86,0.088
3,Greater,AI_VECTOR_CORE,1,3.5,3.5,3.5,3.5,0.08
