submitted=94 http_workers=64
completed=1/94 page=147 elapsed_s=8.6 tables_per_s=0.116
completed=2/94 page=223 elapsed_s=8.7 tables_per_s=0.229
completed=3/94 page=106 elapsed_s=9.1 tables_per_s=0.330
completed=4/94 page=142 elapsed_s=9.1 tables_per_s=0.437
completed=5/94 page=190 elapsed_s=9.3 tables_per_s=0.539
completed=6/94 page=182 elapsed_s=9.7 tables_per_s=0.618
completed=7/94 page=229 elapsed_s=9.8 tables_per_s=0.716
completed=8/94 page=188 elapsed_s=9.8 tables_per_s=0.815
completed=9/94 page=210 elapsed_s=9.9 tables_per_s=0.910
completed=10/94 page=200 elapsed_s=9.9 tables_per_s=1.011
completed=11/94 page=201 elapsed_s=9.9 tables_per_s=1.107
completed=12/94 page=229 elapsed_s=10.5 tables_per_s=1.139
completed=13/94 page=225 elapsed_s=10.5 tables_per_s=1.232
completed=14/94 page=209 elapsed_s=10.6 tables_per_s=1.324
completed=15/94 page=217 elapsed_s=10.6 tables_per_s=1.416
completed=16/94 page=10 elapsed_s=11.0 tables_per_s=1.452
completed=17/94 page=226 elapsed_s=11.1 tables_per_s=1.533
completed=18/94 page=215 elapsed_s=11.2 tables_per_s=1.608
completed=19/94 page=220 elapsed_s=11.2 tables_per_s=1.698
completed=20/94 page=232 elapsed_s=11.4 tables_per_s=1.752
completed=21/94 page=204 elapsed_s=11.4 tables_per_s=1.836
completed=22/94 page=202 elapsed_s=11.4 tables_per_s=1.922
completed=23/94 page=229 elapsed_s=11.5 tables_per_s=2.005
completed=24/94 page=235 elapsed_s=11.5 tables_per_s=2.087
completed=25/94 page=182 elapsed_s=12.1 tables_per_s=2.062
completed=26/94 page=226 elapsed_s=12.1 tables_per_s=2.143
completed=27/94 page=222 elapsed_s=12.2 tables_per_s=2.221
completed=28/94 page=220 elapsed_s=12.2 tables_per_s=2.301
completed=29/94 page=208 elapsed_s=12.2 tables_per_s=2.380
completed=30/94 page=247 elapsed_s=12.2 tables_per_s=2.461
completed=31/94 page=219 elapsed_s=12.2 tables_per_s=2.534
completed=32/94 page=239 elapsed_s=12.3 tables_per_s=2.607
completed=33/94 page=246 elapsed_s=13.0 tables_per_s=2.546
completed=34/94 page=205 elapsed_s=13.0 tables_per_s=2.619
completed=35/94 page=200 elapsed_s=13.0 tables_per_s=2.692
completed=36/94 page=222 elapsed_s=13.1 tables_per_s=2.753
completed=37/94 page=236 elapsed_s=13.1 tables_per_s=2.825
completed=38/94 page=236 elapsed_s=13.1 tables_per_s=2.895
completed=39/94 page=238 elapsed_s=13.1 tables_per_s=2.968
completed=40/94 page=246 elapsed_s=13.2 tables_per_s=3.022
completed=41/94 page=226 elapsed_s=13.3 tables_per_s=3.092
completed=42/94 page=206 elapsed_s=13.3 tables_per_s=3.162
completed=43/94 page=205 elapsed_s=13.3 tables_per_s=3.223
completed=44/94 page=246 elapsed_s=13.4 tables_per_s=3.296
completed=45/94 page=206 elapsed_s=13.4 tables_per_s=3.370
completed=46/94 page=210 elapsed_s=13.4 tables_per_s=3.432
completed=47/94 page=243 elapsed_s=13.4 tables_per_s=3.505
completed=48/94 page=201 elapsed_s=13.5 tables_per_s=3.565
completed=49/94 page=241 elapsed_s=13.5 tables_per_s=3.632
completed=50/94 page=213 elapsed_s=13.6 tables_per_s=3.685
completed=51/94 page=243 elapsed_s=13.6 tables_per_s=3.758
completed=52/94 page=211 elapsed_s=13.7 tables_per_s=3.799
completed=53/94 page=253 elapsed_s=13.8 tables_per_s=3.840
completed=54/94 page=240 elapsed_s=13.8 tables_per_s=3.910
completed=55/94 page=244 elapsed_s=13.8 tables_per_s=3.973
completed=56/94 page=11 elapsed_s=13.9 tables_per_s=4.042
completed=57/94 page=221 elapsed_s=13.9 tables_per_s=4.114
completed=58/94 page=244 elapsed_s=13.9 tables_per_s=4.177
completed=59/94 page=225 elapsed_s=13.9 tables_per_s=4.235
completed=60/94 page=224 elapsed_s=13.9 tables_per_s=4.306
completed=61/94 page=224 elapsed_s=14.0 tables_per_s=4.365
completed=62/94 page=242 elapsed_s=14.0 tables_per_s=4.424
completed=63/94 page=106 elapsed_s=14.1 tables_per_s=4.483
completed=64/94 page=218 elapsed_s=14.1 tables_per_s=4.547
completed=65/94 page=220 elapsed_s=14.1 tables_per_s=4.608
completed=66/94 page=195 elapsed_s=14.3 tables_per_s=4.609
completed=67/94 page=239 elapsed_s=14.4 tables_per_s=4.637
completed=68/94 page=228 elapsed_s=14.7 tables_per_s=4.615
completed=69/94 page=248 elapsed_s=14.8 tables_per_s=4.666
completed=70/94 page=253 elapsed_s=14.8 tables_per_s=4.727
completed=71/94 page=214 elapsed_s=15.0 tables_per_s=4.737
completed=72/94 page=249 elapsed_s=15.1 tables_per_s=4.781
completed=73/94 page=245 elapsed_s=15.2 tables_per_s=4.818
completed=74/94 page=227 elapsed_s=15.3 tables_per_s=4.851
completed=75/94 page=252 elapsed_s=15.3 tables_per_s=4.896
completed=76/94 page=251 elapsed_s=15.4 tables_per_s=4.933
completed=77/94 page=212 elapsed_s=15.5 tables_per_s=4.964
completed=78/94 page=254 elapsed_s=15.6 tables_per_s=5.007
completed=79/94 page=223 elapsed_s=15.7 tables_per_s=5.030
completed=80/94 page=207 elapsed_s=15.7 tables_per_s=5.083
completed=81/94 page=178 elapsed_s=15.8 tables_per_s=5.128
completed=82/94 page=231 elapsed_s=15.8 tables_per_s=5.178
completed=83/94 page=242 elapsed_s=16.0 tables_per_s=5.172
completed=84/94 page=230 elapsed_s=16.1 tables_per_s=5.211
completed=85/94 page=234 elapsed_s=16.2 tables_per_s=5.241
completed=86/94 page=237 elapsed_s=16.3 tables_per_s=5.281
completed=87/94 page=199 elapsed_s=16.8 tables_per_s=5.192
completed=88/94 page=249 elapsed_s=17.4 tables_per_s=5.072
completed=89/94 page=250 elapsed_s=17.6 tables_per_s=5.055
completed=90/94 page=203 elapsed_s=17.7 tables_per_s=5.088
completed=91/94 page=250 elapsed_s=17.9 tables_per_s=5.095
completed=92/94 page=233 elapsed_s=19.9 tables_per_s=4.615
completed=93/94 page=255 elapsed_s=20.9 tables_per_s=4.448
completed=94/94 page=216 elapsed_s=22.5 tables_per_s=4.181
DONE tables=94 output=tmp/09_persistent_page_engine/crop_api_open_b64_smoke_9a3f299/predictions.jsonl
DRAINED requests=94 decode_batch_size=64 effective_decode_tok_per_s=2995.298
scored=25/94 elapsed_s=1.8
scored=50/94 elapsed_s=2.5
scored=75/94 elapsed_s=3.4
scored=94/94 elapsed_s=35.1
SCORED page_TEDS=0.912640 sample_TEDS=0.906961 output=tmp/09_persistent_page_engine/crop_api_open_b64_smoke_9a3f299/teds.json
SUMMARY output=tmp/09_persistent_page_engine/crop_api_open_b64_smoke_9a3f299/summary.json
