Selected physical NPU 5 as logical npu:0
Python: /usr/local/python3.12.13/bin/python3
Waiting for NPU worker pid=2485524
READY http://127.0.0.1:8766 worker_pid=2485524
HTTP 127.0.0.1 "GET /ready HTTP/1.1" 200 -
.HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000147_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000223_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000106_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000142_table_box_id_2 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000190_table_box_id_0 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000182_table_box-tn22tc2f HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000229_table_box-pug9otka HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000188_table_box_id_6 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000210_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000200_table_box_id_7 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000201_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000229_table_box_id_7 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000225_table_box_id_9 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000209_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000217_table_box_id_0 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000010_table_box_id_1 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000226_table_box_id_5 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000215_table_box_id_4 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000220_table_box_id_10 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000232_table_box_id_8 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000204_table_box_id_6 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000202_table_box_id_0 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000229_table_box_id_3 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000235_table_box_id_16 HTTP/1.1" 200 -
HTTP 127.0.0.1 "POST /v1/ocr?crop_type=table&request_id=page_000182_table_box_id_2 HTTP/1.1" 200 -
