Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,6,2,1299,3,UpdateModelParam_static_bin,Data,dynamic,AI_VECTOR_CORE,1786306819016699.745	,5.260,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757,8563,0.973,0.205,2.591,0.545,0.961,0.202,0.163,0.034,0.166,0.000
0,6,2,0,6,Range,Range,static,AI_VECTOR_CORE,1786306819016758.505	,9.140,53.490000,48,0,NO,""";;""",INT32;FLOAT;INT32,NCHW;NCHW;NCHW,"""1024""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.697,492222,0.073,0.013,1.051,0.184,0.001,0.0,0.712,0.125,0.221,0.000
0,6,2,1,6,Cast,Cast,static,AI_VECTOR_CORE,1786306819016767.665	,1.660,0.110000,2,0,NO,"""1024""",FLOAT,NCHW,"""1024""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056,3803,0.031,0.029,0.116,0.11,0.118,0.112,0.514,0.486,0.28,0.000
0,6,2,2,6,GatherV2,GatherV2,static,AI_VECTOR_CORE,1786306819016769.365	,7.400,0.000000,47,0,NO,"""103424,1024;1,1;1""",FLOAT16;INT64;INT64,ND;ND;ND,"""1,1,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.388,371228,0.049,0.011,0.155,0.035,0.806,0.184,0.297,0.068,0.178,0.000
0,6,2,3,6,RmsNorm,RmsNorm,static,AI_VECTOR_CORE,1786306819016776.785	,5.860,0.100000,1,0,NO,"""1,1,1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1,1,1024;1,1,1""",FLOAT16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326,9586,0.8,0.15,2.612,0.491,0.365,0.069,0.251,0.047,0.177,0.000
0,6,2,4,6,MatMul,MatMul,static,AI_CORE,1786306819016782.665	,9.240,0.140000,23,0,NO,"""1,1024;64,160,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""1,2560""",FLOAT16,ND,N/A,6.475,268070,0.527,0.081,0.445,0.069,1.14,0.176,3.786,0.585,2.578,0.398,0.241,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.157
0,6,2,5,6,SplitV_2,SplitVD,static,AI_VECTOR_CORE,1786306819016791.925	,1.180,0.010000,1,0,NO,"""1,1,2560""",FLOAT16,ND,"""1,1,2048;1,1,256;1,1,256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,1171,0.008,0.012,0.149,0.23,0.127,0.195,0.148,0.228,0.286,0.000
0,6,2,6,6,Add,Add,static,AI_VECTOR_CORE,1786306819016793.125	,1.400,0.000000,1,0,NO,"""1,1;1,1""",INT64;INT64,NCHW;NCHW,"""1,1""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1548,0.082,0.095,0.158,0.184,0.293,0.341,0.106,0.123,0.156,0.000
0,6,2,7,6,BroadcastTo,BroadcastTo,static,AI_VECTOR_CORE,1786306819016794.545	,1.220,0.100000,1,0,NO,"""1,1,1;3""",INT64;INT64,NCHW;NCHW,"""3,1,1""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682,1228,0.082,0.12,0.147,0.215,0.085,0.125,0.114,0.167,0.167,0.000
0,6,2,8,6,Cast_1,Cast,static,AI_VECTOR_CORE,1786306819016795.785	,1.180,0.030000,1,0,NO,"""3,1,1,1""",INT64,NCHW,"""3,1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642,1156,0.058,0.091,0.124,0.193,0.105,0.163,0.102,0.159,0.185,0.000
