DATASET_CHECK_START checking OmniDocBench.json and all referenced images; inference starts after this check
fingerprinted_images=100/1651
fingerprinted_images=200/1651
fingerprinted_images=300/1651
fingerprinted_images=400/1651
fingerprinted_images=500/1651
fingerprinted_images=600/1651
fingerprinted_images=700/1651
fingerprinted_images=800/1651
fingerprinted_images=900/1651
fingerprinted_images=1000/1651
fingerprinted_images=1100/1651
fingerprinted_images=1200/1651
fingerprinted_images=1300/1651
fingerprinted_images=1400/1651
fingerprinted_images=1500/1651
fingerprinted_images=1600/1651
fingerprinted_images=1651/1651
DATASET_CHECK_RESULT matches=True images=1651/1651 json_sha256=a45cd84b04ad8b793e775089640e6b681209abea33ead54c1828ddca35fae496 images_sha256=58feeb96c60fcfab12ba4348c4e093ceaf1b707658dbfd0e08c24d7821d4c221
submitted=665 http_workers=1
completed=1/665 page=10 elapsed_s=2.2 crops_per_s=0.459
completed=2/665 page=11 elapsed_s=3.1 crops_per_s=0.642
completed=3/665 page=106 elapsed_s=3.9 crops_per_s=0.763
completed=4/665 page=106 elapsed_s=4.1 crops_per_s=0.975
completed=5/665 page=142 elapsed_s=4.3 crops_per_s=1.163
completed=6/665 page=147 elapsed_s=4.5 crops_per_s=1.346
completed=7/665 page=178 elapsed_s=6.0 crops_per_s=1.161
completed=8/665 page=182 elapsed_s=6.7 crops_per_s=1.198
completed=9/665 page=182 elapsed_s=7.0 crops_per_s=1.285
completed=10/665 page=188 elapsed_s=10.4 crops_per_s=0.961
completed=11/665 page=190 elapsed_s=10.9 crops_per_s=1.012
completed=12/665 page=195 elapsed_s=12.0 crops_per_s=0.998
completed=13/665 page=199 elapsed_s=13.7 crops_per_s=0.947
completed=14/665 page=200 elapsed_s=14.3 crops_per_s=0.977
completed=15/665 page=200 elapsed_s=14.7 crops_per_s=1.022
completed=16/665 page=201 elapsed_s=15.0 crops_per_s=1.064
completed=17/665 page=201 elapsed_s=15.8 crops_per_s=1.077
completed=18/665 page=202 elapsed_s=16.4 crops_per_s=1.099
completed=19/665 page=203 elapsed_s=18.3 crops_per_s=1.037
completed=20/665 page=204 elapsed_s=18.9 crops_per_s=1.059
completed=21/665 page=205 elapsed_s=19.5 crops_per_s=1.079
completed=22/665 page=205 elapsed_s=20.1 crops_per_s=1.095
completed=23/665 page=206 elapsed_s=20.7 crops_per_s=1.114
completed=24/665 page=206 elapsed_s=21.2 crops_per_s=1.130
completed=25/665 page=207 elapsed_s=22.8 crops_per_s=1.097
completed=26/665 page=208 elapsed_s=23.5 crops_per_s=1.108
completed=27/665 page=209 elapsed_s=23.9 crops_per_s=1.129
completed=28/665 page=210 elapsed_s=24.8 crops_per_s=1.128
completed=29/665 page=210 elapsed_s=25.2 crops_per_s=1.151
completed=30/665 page=211 elapsed_s=26.3 crops_per_s=1.142
completed=31/665 page=212 elapsed_s=27.7 crops_per_s=1.117
completed=32/665 page=213 elapsed_s=28.6 crops_per_s=1.118
completed=33/665 page=214 elapsed_s=29.8 crops_per_s=1.107
completed=34/665 page=215 elapsed_s=30.4 crops_per_s=1.119
completed=35/665 page=216 elapsed_s=33.5 crops_per_s=1.044
completed=36/665 page=217 elapsed_s=34.1 crops_per_s=1.056
completed=37/665 page=218 elapsed_s=35.1 crops_per_s=1.055
completed=38/665 page=219 elapsed_s=35.7 crops_per_s=1.066
completed=39/665 page=220 elapsed_s=36.2 crops_per_s=1.078
completed=40/665 page=220 elapsed_s=37.1 crops_per_s=1.078
completed=41/665 page=220 elapsed_s=37.6 crops_per_s=1.092
completed=42/665 page=221 elapsed_s=38.5 crops_per_s=1.091
completed=43/665 page=222 elapsed_s=39.1 crops_per_s=1.100
completed=44/665 page=222 elapsed_s=39.8 crops_per_s=1.105
completed=45/665 page=223 elapsed_s=41.2 crops_per_s=1.094
completed=46/665 page=223 elapsed_s=41.3 crops_per_s=1.113
completed=47/665 page=224 elapsed_s=42.2 crops_per_s=1.114
completed=48/665 page=224 elapsed_s=43.0 crops_per_s=1.116
completed=49/665 page=225 elapsed_s=43.4 crops_per_s=1.128
completed=50/665 page=225 elapsed_s=44.3 crops_per_s=1.129
completed=51/665 page=226 elapsed_s=44.8 crops_per_s=1.138
completed=52/665 page=226 elapsed_s=45.5 crops_per_s=1.142
completed=53/665 page=226 elapsed_s=46.0 crops_per_s=1.152
completed=54/665 page=227 elapsed_s=47.3 crops_per_s=1.141
completed=55/665 page=228 elapsed_s=48.4 crops_per_s=1.135
completed=56/665 page=229 elapsed_s=49.0 crops_per_s=1.144
completed=57/665 page=229 elapsed_s=49.3 crops_per_s=1.156
completed=58/665 page=229 elapsed_s=49.6 crops_per_s=1.169
completed=59/665 page=230 elapsed_s=51.2 crops_per_s=1.152
completed=60/665 page=231 elapsed_s=52.8 crops_per_s=1.137
completed=61/665 page=232 elapsed_s=53.3 crops_per_s=1.145
completed=62/665 page=233 elapsed_s=55.9 crops_per_s=1.110
completed=63/665 page=234 elapsed_s=57.4 crops_per_s=1.097
completed=64/665 page=235 elapsed_s=57.8 crops_per_s=1.106
completed=65/665 page=236 elapsed_s=58.4 crops_per_s=1.113
completed=66/665 page=236 elapsed_s=59.0 crops_per_s=1.118
completed=67/665 page=237 elapsed_s=60.5 crops_per_s=1.108
completed=68/665 page=238 elapsed_s=61.0 crops_per_s=1.114
completed=69/665 page=239 elapsed_s=61.9 crops_per_s=1.115
completed=70/665 page=239 elapsed_s=62.2 crops_per_s=1.125
completed=71/665 page=240 elapsed_s=62.9 crops_per_s=1.129
completed=72/665 page=241 elapsed_s=63.5 crops_per_s=1.134
completed=73/665 page=242 elapsed_s=64.7 crops_per_s=1.128
completed=74/665 page=242 elapsed_s=65.3 crops_per_s=1.133
completed=75/665 page=243 elapsed_s=65.9 crops_per_s=1.138
completed=76/665 page=243 elapsed_s=66.4 crops_per_s=1.145
completed=77/665 page=244 elapsed_s=66.9 crops_per_s=1.151
completed=78/665 page=244 elapsed_s=67.4 crops_per_s=1.157
completed=79/665 page=245 elapsed_s=68.3 crops_per_s=1.156
completed=80/665 page=246 elapsed_s=68.6 crops_per_s=1.167
