2026-09-06 01:03:07 [INFO] [2549696] [2549696] [kernel_parser_worker.cpp:46] Start run KernelParserWorker
2026-09-06 01:03:07 [INFO] [2549696] [2549697] [kernel_parser_worker.cpp:58] Start parse hash data
2026-09-06 01:03:07 [INFO] [2549696] [2549697] [kernel_parser_worker.cpp:78] Hash data load from path: /workspace/repos/paddle_ocr_vl_npu/tmp/09_persistent_page_engine/table_b4_b8_profile_b0f1cac7_20260906/b4_capture/liteserver-c001-4_2549170_20260906010305656_ascend_pt/PROF_000001_20260906010305686_02549170FIJOBIFA/host/data
2026-09-06 01:03:07 [INFO] [2549696] [2549698] [kernel_parser_worker.cpp:62] Start parse type info data
2026-09-06 01:03:07 [INFO] [2549696] [2549698] [kernel_parser_worker.cpp:100] Typeinfo data load from path: /workspace/repos/paddle_ocr_vl_npu/tmp/09_persistent_page_engine/table_b4_b8_profile_b0f1cac7_20260906/b4_capture/liteserver-c001-4_2549170_20260906010305656_ascend_pt/PROF_000001_20260906010305686_02549170FIJOBIFA/host/data
2026-09-06 01:03:07 [INFO] [2549696] [2549698] [db_runner.cpp:53] Start create TypeHashInfo
2026-09-06 01:03:07 [INFO] [2549696] [2549698] [db_runner.cpp:66] create TypeHashInfo success
2026-09-06 01:03:07 [INFO] [2549696] [2549698] [db_runner.h:61] Start insert data to TypeHashInfo
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 7383439776149831
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 17421995467204288334
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 4116198631462780492
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 3003345168663328168
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 4081164913275446061
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9121722233207160946
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 16062568128939123186
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9711593804331549358
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 14455057689400669525
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 8225326188153376250
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9892056546600508386
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 10021110757863193781
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9413020932621503834
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 3805162652077061339
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 4173017293360041302
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 15270733942687104112
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 11455679755271659678
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 436336854339069248
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 15378418714272475439
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 13203841692733498602
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 8133440602158921978
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 4727050148631528152
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9399208702625485414
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 9399208706920452711
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 2554903196299385433
2026-09-06 01:03:07 [WARN] [2549696] [2549697] [hash_data.cpp:81] Duplicate hash found key: 16616003465358787911
