Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
,6,17,211,37,IncreFlashAttention_13,IncreFlashAttention,static,MIX_AIC,1788656799046764.270	,34.560,0,24,48,NO,"""8,16,1,128;8,2,4096,128;8,2,4096,128;8,1,1,4096""",FLOAT16;FLOAT16;FLOAT16;BOOL,NCHW;NCHW;NCHW;NCHW,"""8,16,1,128""",FLOAT16,NCHW,0,35.341,1526743,2.943,0.083,23.302,0.659,7.458,0.211,16.096,0.455,7.375,0.209,0.002,35.085,3031310,2.331,0.066,6.829,0.195,1.42,0.04,1.41,0.04,0.005,102.261
,6,17,212,37,MatMul_53,MatMul,static,AI_CORE,1788656799046799.630	,3.760,0.940000,22,0,NO,"""8,2048;128,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,1024""",FLOAT16,ND,N/A,5.138,203459,0.487,0.095,0.422,0.082,1.075,0.209,4.156,0.809,3.053,0.594,0.045,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.258
,6,17,213,37,InplaceAddRmsNorm_26,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788656799046803.410	,2.000,0.000000,8,0,NO,"""8,1,1024;8,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""8,1,1024;8,1,1;8,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232,17743,0.282,0.229,0.69,0.56,0.301,0.245,0.378,0.307,0.018,0.000
,6,17,214,37,MatMul_54,MatMul,static,AI_CORE,1788656799046805.430	,6.100,0.000000,24,0,NO,"""8,1024;64,384,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,6144""",FLOAT16,ND,N/A,8.337,360162,1.076,0.129,0.942,0.113,2.431,0.292,6.337,0.76,2.88,0.345,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.673
,6,17,215,37,SwiGlu_13,SwiGlu,static,AI_VECTOR_CORE,1788656799046811.570	,3.100,0.000000,6,0,NO,"""8,1,6144""",FLOAT16,ND,"""8,1,3072""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.301,24855,0.566,0.246,1.083,0.471,0.219,0.095,0.148,0.064,0.128,0.000
,6,17,216,37,MatMul_55,MatMul,static,AI_CORE,1788656799046814.690	,5.960,0.150000,22,0,NO,"""8,3072;192,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,1024""",FLOAT16,ND,N/A,5.828,230798,0.731,0.125,0.182,0.031,1.648,0.283,4.085,0.701,1.241,0.213,0.135,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.640
,6,17,218,37,InplaceAddRmsNorm_27,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788656799046820.730	,2.620,0.040000,8,0,NO,"""8,1,1024;8,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""8,1,1024;8,1,1;8,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.689,24328,0.282,0.167,0.478,0.283,0.299,0.177,0.363,0.215,0.138,0.000
,6,17,219,37,MatMul_56,MatMul,static,AI_CORE,1788656799046823.370	,3.480,0.000000,23,0,NO,"""8,1024;64,160,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,2560""",FLOAT16,ND,N/A,3.749,155225,0.527,0.141,0.432,0.115,1.126,0.3,2.619,0.699,1.217,0.325,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.252
,6,17,220,37,SplitV_14,SplitVD,static,AI_VECTOR_CORE,1788656799046826.890	,1.400,0.270000,1,0,NO,"""8,1,2560""",FLOAT16,ND,"""8,1,2048;8,1,256;8,1,256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1512,0.008,0.009,0.117,0.139,0.284,0.339,0.308,0.366,0.263,0.000
,6,17,221,37,ApplyRotaryPosEmb_14,ApplyRotaryPosEmb,static,AI_VECTOR_CORE,1788656799046828.310	,3.880,0.000000,8,0,NO,"""8,1,16,128;8,1,2,128;8,1,1,128;8,1,1,128""",FLOAT16;FLOAT16;FLOAT16;FLOAT16,NCHW;NCHW;NCHW;NCHW,"""8,1,16,128;8,1,2,128""",FLOAT16;FLOAT16,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.603,37477,0.158,0.061,1.333,0.512,0.148,0.057,0.144,0.055,0.102,0.000
,6,17,222,37,Scatter_28,Scatter,static,AI_VECTOR_CORE,1788656799046832.210	,2.760,0.120000,16,0,NO,"""8,2,4096,128;8;8,2,1,128""",FLOAT16;INT64;FLOAT16,NCHW;NCHW;NCHW,"""8,2,4096,128""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584,74420,0.008,0.003,0.131,0.051,0.116,0.045,0.918,0.355,0.196,0.000
,6,17,224,37,Scatter_29,Scatter,static,AI_VECTOR_CORE,1788656799046835.030	,3.680,0.000000,16,0,NO,"""8,2,4096,128;8;8,2,1,128""",FLOAT16;INT64;FLOAT16,NCHW;NCHW;NCHW,"""8,2,4096,128""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405,69257,0.008,0.003,0.138,0.057,0.116,0.048,1.133,0.471,0.19,0.000
,6,17,226,37,IncreFlashAttention_14,IncreFlashAttention,static,MIX_AIC,1788656799046849.170	,32.500,10.570000,24,48,NO,"""8,16,1,128;8,2,4096,128;8,2,4096,128;8,1,1,4096""",FLOAT16;FLOAT16;FLOAT16;BOOL,NCHW;NCHW;NCHW;NCHW,"""8,16,1,128""",FLOAT16,NCHW,0,32.795,1416757,2.943,0.09,23.071,0.703,7.458,0.227,14.161,0.432,6.972,0.213,0.002,32.65,2820921,2.333,0.071,6.951,0.213,1.731,0.053,1.425,0.044,0.005,100.909
,6,17,227,37,MatMul_57,MatMul,static,AI_CORE,1788656799046882.770	,3.480,1.000000,22,0,NO,"""8,2048;128,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,1024""",FLOAT16,ND,N/A,5.017,198662,0.486,0.097,0.402,0.08,1.075,0.214,4.081,0.813,3.051,0.608,0.042,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.145
,6,17,228,37,InplaceAddRmsNorm_28,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788656799046886.270	,1.720,0.020000,8,0,NO,"""8,1,1024;8,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""8,1,1024;8,1,1;8,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049,15104,0.282,0.269,0.508,0.484,0.363,0.346,0.378,0.361,0.017,0.000
,6,17,229,37,MatMul_58,MatMul,static,AI_CORE,1788656799046888.010	,5.120,0.030000,24,0,NO,"""8,1024;64,384,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""8,6144""",FLOAT16,ND,N/A,6.117,264243,1.076,0.176,0.454,0.074,2.403,0.393,4.509,0.737,1.233,0.202,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.468
,6,17,230,37,SwiGlu_14,SwiGlu,static,AI_VECTOR_CORE,1788656799046893.150	,3.300,0.130000,6,0,NO,"""8,1,6144""",FLOAT16,ND,"""8,1,3072""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.364,25531,0.566,0.24,1.088,0.46,0.21,0.089,0.156,0.066,0.125,0.000
