Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::record,,,61.61,78.1,0,0.02,0,0
record_event,,,16.49,16.49,0.02,0.02,0,0
Event::wait,,,44.03,54.33,0,180.02,0,0
wait_event,,,10.3,10.3,180.02,180.02,0,0
aten::select,"2,2;
;
",,21.63,33.34,0,0,0,0
aten::as_strided,"2,2;
;
;
",,11.71,11.71,0,0,0,0
aten::reshape,"2,1;
",,3.97,10.84,0,0,0,0
aten::view,"2,1;
",,6.87,6.87,0,0,0,0
aten::copy_,"2;
2;
",,9.39,16.1,0,1.84,0,0
acl_memcpy_device_to_host,,,6.71,6.71,1.84,1.84,0,0
Event::record,,,51.62,60.45,0,0.02,0,0
record_event,,,8.83,8.83,0.02,0.02,0,0
destroy_event,,,5.65,5.65,0,0,0,0
Event::synchronize,,,56.37,56.37,0,0,0,0
aten::select,"2,2;
;
",,8.29,14.01,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.72,5.72,0,0,0,0
aten::resolve_conj,2,,1.31,1.31,0,0,0,0
aten::resolve_neg,2,,1.08,1.08,0,0,0,0
destroy_event,,,8.63,8.63,0,0,0,0
serving.decode_step,,,234.7,1122.0,0,10.92,0,0
Event::record,,,97.22,108.02,0,0.02,0,0
record_event,,,10.8,10.8,0.02,0.02,0,0
cache_compiler inference,,,148.95,488.21,0,0,0,0
TorchDynamo Cache Lookup,,,115.59,115.59,0,0,0,0
Torch-Compiled Region: 0/0,,,93.9,223.67,0,0,0,0
TorchNpuGraphBase::Run,,,25.77,129.77,0,0,0,0
AssembleInputs,,,11.2,11.2,0,0,0,0
AssembleOutputs,,,7.71,7.71,0,0,0,0
ExecuteGraph,,,52.72,52.72,0,0,0,0
RefreshAtTensorFromGeTensor,,,9.71,32.37,0,0,0,0
aten::empty,";
;
;
;
;
",,7.45,16.28,0,0,0,0
empty_tensor,,,8.83,8.83,0,0,0,0
aten::set_,"0;
;
;
;
",,6.38,6.38,0,0,0,0
aten::reshape,"2,1;
",,4.97,11.84,0,0,0,0
aten::view,"2,1;
",,6.87,6.87,0,0,0,0
Event::record,,,103.82,117.82,0,0.02,0,0
record_event,,,14.0,14.0,0.02,0.02,0,0
aten::view,"2;
",,7.74,7.74,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,7.58,50.64,0,1.84,0,0
aten::empty_like,"2,1;
;
;
;
;
",,7.28,19.61,0,0,0,0
empty_tensor,,,12.33,12.33,0,0,0,0
aten::fill_,"2,1;
",,14.12,23.45,0,1.84,0,0
aclnnInplaceFillScalar,,,9.33,9.33,1.84,1.84,0,0
aten::where,"2,1;
2,1;
2,1",,14.15,26.96,0,2.64,0,0
empty_tensor,,,6.79,6.79,0,0,0,0
aclnnSWhere,,,6.02,6.02,2.64,2.64,0,0
aten::add,"2;
;
",,15.31,29.53,0,2.82,0,0
empty_tensor,,,4.83,4.83,0,0,0,0
aten::item,,,2.48,4.13,0,0,0,0
aten::_local_scalar_dense,,,1.65,1.65,0,0,0,0
aclnnAdds,,,5.26,5.26,2.82,2.82,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.49,27.79,0,1.68,0,0
aten::empty_like,"2;
;
;
;
;
",,5.53,10.44,0,0,0,0
empty_tensor,,,4.91,4.91,0,0,0,0
aten::zero_,2,,6.69,11.86,0,1.68,0,0
aclnnInplaceZero,,,5.17,5.17,1.68,1.68,0,0
aten::where,"2;
2;
2",,9.67,18.75,0,1.9,0,0
empty_tensor,,,4.69,4.69,0,0,0,0
aclnnSWhere,,,4.39,4.39,1.9,1.9,0,0
Event::record,,,51.37,62.87,0,0.0,0,0
record_event,,,11.5,11.5,0.0,0.0,0,0
Event::wait,,,41.09,50.57,0,356.78,0,0
wait_event,,,9.48,9.48,356.78,356.78,0,0
aten::select,"2,2;
;
",,8.39,13.73,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.34,5.34,0,0,0,0
aten::reshape,"2,1;
",,3.95,10.45,0,0,0,0
aten::view,"2,1;
",,6.5,6.5,0,0,0,0
aten::copy_,"2;
2;
",,8.74,15.28,0,1.88,0,0
