Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
6,GatherV2_1,N/A,N/A,1788520315808190.560	,2.540,0,0
6,GatherV2,N/A,N/A,1788520315808193.120	,2.320,0.000000,0
6,RmsNorm,N/A,N/A,1788520315808195.520	,10.260,0.180000,0
6,MatMul,N/A,N/A,1788520315808205.800	,10.720,0.000000,0
6,Range,N/A,N/A,1788520315808216.560	,8.780,0.030000,0
6,Cast,N/A,N/A,1788520315808225.360	,0.860,0.000000,0
6,Range_2,N/A,N/A,1788520315808226.240	,8.600,0.140000,0
6,Cast_2,N/A,N/A,1788520315808234.860	,0.980,0.000000,0
6,Range_1,N/A,N/A,1788520315808235.860	,8.300,0.020000,0
6,Cast_1,N/A,N/A,1788520315808244.180	,2.080,0.200000,0
6,SplitV_2,N/A,N/A,1788520315808246.280	,1.680,0.000000,0
6,Add,N/A,N/A,1788520315808247.980	,1.500,0.070000,0
6,Add_1,N/A,N/A,1788520315808249.500	,1.520,0.000000,0
6,BroadcastTo_1,N/A,N/A,1788520315808251.040	,0.880,0.000000,0
6,Cast_3,N/A,N/A,1788520315808251.940	,0.840,0.120000,0
6,BroadcastTo_2,N/A,N/A,1788520315808252.800	,0.960,0.000000,0
6,Mul,N/A,N/A,1788520315808253.780	,8.360,0.040000,0
6,Greater,N/A,N/A,1788520315808262.180	,8.200,0.140000,0
6,Transpose,N/A,N/A,1788520315808270.400	,8.480,0.050000,0
6,ConcatV2,N/A,N/A,1788520315808278.900	,3.680,0.020000,0
6,Cos,N/A,N/A,1788520315808282.600	,2.320,0.000000,0
6,Mul_1Cast_7,N/A,N/A,1788520315808284.940	,1.260,0.180000,0
6,Sin,N/A,N/A,1788520315808286.240	,2.240,0.000000,0
6,Mul_2Cast_8,N/A,N/A,1788520315808288.520	,1.180,0.010000,0
6,SplitV,N/A,N/A,1788520315808289.720	,3.600,0.070000,0
6,GatherV2_3,N/A,N/A,1788520315808293.340	,1.020,0.000000,0
6,GatherV2_4,N/A,N/A,1788520315808294.380	,0.940,0.230000,0
6,GatherV2_6,N/A,N/A,1788520315808295.340	,0.880,0.000000,0
6,GatherV2_7,N/A,N/A,1788520315808296.240	,0.860,0.120000,0
6,SplitV_1,N/A,N/A,1788520315808297.120	,3.540,0.000000,0
6,GatherV2_10,N/A,N/A,1788520315808300.680	,0.940,0.210000,0
6,GatherV2_12,N/A,N/A,1788520315808301.640	,0.900,0.060000,0
6,GatherV2_13,N/A,N/A,1788520315808302.560	,0.900,0.000000,0
6,GatherV2_9,N/A,N/A,1788520315808303.480	,0.940,0.100000,0
6,BroadcastTo,N/A,N/A,1788520315808304.440	,7.960,0.060000,0
6,GatherV2_11,N/A,N/A,1788520315808312.420	,1.080,0.040000,0
6,GatherV2_2,N/A,N/A,1788520315808313.520	,0.880,0.000000,0
6,GatherV2_5,N/A,N/A,1788520315808314.420	,0.900,0.120000,0
6,GatherV2_8,N/A,N/A,1788520315808315.340	,0.780,0.000000,0
6,ConcatV2_1,N/A,N/A,1788520315808316.160	,3.300,0.220000,0
6,ConcatV2_2,N/A,N/A,1788520315808319.480	,3.240,0.000000,0
6,GatherV2_15,N/A,N/A,1788520315808322.740	,0.920,0.010000,0
6,GatherV2_16,N/A,N/A,1788520315808323.680	,0.780,0.080000,0
6,GatherV2_17,N/A,N/A,1788520315808324.480	,0.820,0.000000,0
6,GatherV2_18,N/A,N/A,1788520315808325.320	,0.780,0.000000,0
6,GatherV2_19,N/A,N/A,1788520315808326.140	,0.800,0.220000,0
6,GatherV2_20,N/A,N/A,1788520315808326.980	,0.780,0.000000,0
6,GatherV2_21,N/A,N/A,1788520315808327.780	,0.800,0.000000,0
6,GatherV2_22,N/A,N/A,1788520315808328.620	,0.780,0.000000,0
6,GatherV2_23,N/A,N/A,1788520315808329.420	,0.840,0.220000,0
6,GatherV2_24,N/A,N/A,1788520315808330.280	,0.780,0.000000,0
6,GatherV2_25,N/A,N/A,1788520315808331.080	,0.820,0.000000,0
6,GatherV2_26,N/A,N/A,1788520315808331.920	,0.800,0.180000,0
6,GatherV2_27,N/A,N/A,1788520315808332.740	,0.840,0.000000,0
6,GatherV2_28,N/A,N/A,1788520315808333.600	,0.780,0.000000,0
6,GatherV2_29,N/A,N/A,1788520315808334.420	,0.800,0.220000,0
6,GatherV2_30,N/A,N/A,1788520315808335.240	,0.840,0.000000,0
6,GatherV2_31,N/A,N/A,1788520315808336.100	,0.880,0.000000,0
6,GatherV2_32,N/A,N/A,1788520315808337.000	,0.880,0.120000,0
6,Add_2,N/A,N/A,1788520315808337.900	,1.340,0.120000,0
6,GatherV2_14,N/A,N/A,1788520315808339.280	,2.560,0.000000,0
6,Unpack,N/A,N/A,1788520315808341.860	,0.920,0.000000,0
6,Scatter_3,N/A,N/A,1788520315808342.800	,2.880,0.080000,0
6,ApplyRotaryPosEmb,N/A,N/A,1788520315808345.760	,6.240,0.120000,0
6,ConcatV2_6,N/A,N/A,1788520315808352.020	,1.880,0.010000,0
6,Transpose_2,N/A,N/A,1788520315808353.920	,8.120,0.120000,0
6,Scatter_2,N/A,N/A,1788520315808362.080	,1.720,0.000000,0
6,Scatter,N/A,N/A,1788520315808363.860	,0.860,0.030000,0
6,BatchMatMul,N/A,N/A,1788520315808364.800	,6.880,0.140000,0
6,ScaledMaskedSoftmax,N/A,N/A,1788520315808371.700	,9.620,0.120000,0
6,Scatter_1,N/A,N/A,1788520315808381.340	,1.160,0.000000,0
6,BatchMatMul_1,N/A,N/A,1788520315808382.560	,11.160,0.090000,0
6,Reshape_33/ConfusionTranspose/Transpose,N/A,N/A,1788520315808393.740	,7.300,0.090000,0
6,Greater_1,N/A,N/A,1788520315808401.060	,9.340,0.000000,0
6,IncreFlashAttention,N/A,N/A,1788520315808411.520	,22.140,1.160000,0
6,MatMul_1,N/A,N/A,1788520315808434.580	,7.300,0.860000,0
6,InplaceAddRmsNorm,N/A,N/A,1788520315808441.900	,3.680,0.200000,0
6,MatMul_2,N/A,N/A,1788520315808445.600	,7.760,0.000000,0
6,MatMul_3,N/A,N/A,1788520315808453.380	,5.680,0.240000,0
6,SwishMul_3,N/A,N/A,1788520315808459.080	,6.700,0.000000,0
6,MatMul_4,N/A,N/A,1788520315808465.800	,10.840,0.050000,0
6,InplaceAddRmsNorm_1,N/A,N/A,1788520315808476.700	,3.900,0.160000,0
6,MatMul_5,N/A,N/A,1788520315808480.640	,4.860,0.100000,0
6,SplitV_7,N/A,N/A,1788520315808485.520	,1.500,0.000000,0
6,ApplyRotaryPosEmb_1,N/A,N/A,1788520315808487.060	,5.040,0.000000,0
6,ConcatV2_8,N/A,N/A,1788520315808492.120	,1.880,0.000000,0
6,Transpose_10,N/A,N/A,1788520315808494.020	,7.720,0.120000,0
6,Scatter_6,N/A,N/A,1788520315808501.780	,2.920,0.030000,0
6,Scatter_7,N/A,N/A,1788520315808504.760	,2.880,0.080000,0
6,IncreFlashAttention_1,N/A,N/A,1788520315808509.060	,21.720,1.370000,0
6,Scatter_4,N/A,N/A,1788520315808531.500	,1.140,0.780000,0
6,BatchMatMul_2,N/A,N/A,1788520315808532.700	,5.600,0.110000,0
6,ScaledMaskedSoftmax_1,N/A,N/A,1788520315808538.320	,8.320,0.000000,0
6,Scatter_5,N/A,N/A,1788520315808546.660	,1.020,0.180000,0
6,BatchMatMul_3,N/A,N/A,1788520315808547.760	,11.100,0.000000,0
6,Reshape_59/ConfusionTranspose/Transpose,N/A,N/A,1788520315808558.880	,7.260,0.150000,0
6,MatMul_6,N/A,N/A,1788520315808566.180	,4.280,0.000000,0
6,InplaceAddRmsNorm_2,N/A,N/A,1788520315808570.480	,3.540,0.000000,0
6,MatMul_7,N/A,N/A,1788520315808574.040	,4.000,0.000000,0
6,MatMul_8,N/A,N/A,1788520315808578.060	,3.480,0.000000,0
6,Swish_1Mul_4,N/A,N/A,1788520315808581.560	,6.780,0.020000,0
6,MatMul_9,N/A,N/A,1788520315808588.360	,5.940,0.000000,0
6,InplaceAddRmsNorm_3,N/A,N/A,1788520315808594.360	,3.820,0.060000,0
6,MatMul_10,N/A,N/A,1788520315808598.200	,5.580,0.180000,0
6,SplitV_12,N/A,N/A,1788520315808603.800	,1.500,0.000000,0
6,ApplyRotaryPosEmb_2,N/A,N/A,1788520315808605.340	,6.440,0.000000,0
6,ConcatV2_10,N/A,N/A,1788520315808611.800	,1.920,0.060000,0
6,Transpose_18,N/A,N/A,1788520315808613.760	,7.620,0.080000,0
6,Scatter_10,N/A,N/A,1788520315808621.400	,3.360,0.130000,0
6,Scatter_11,N/A,N/A,1788520315808624.820	,2.860,0.000000,0
6,IncreFlashAttention_2,N/A,N/A,1788520315808628.680	,20.700,1.140000,0
6,Scatter_8,N/A,N/A,1788520315808650.500	,0.980,1.050000,0
6,BatchMatMul_4,N/A,N/A,1788520315808651.540	,5.440,0.020000,0
6,ScaledMaskedSoftmax_2,N/A,N/A,1788520315808657.020	,8.360,0.060000,0
6,Scatter_9,N/A,N/A,1788520315808665.400	,0.980,0.140000,0
6,BatchMatMul_5,N/A,N/A,1788520315808666.460	,10.560,0.020000,0
6,Reshape_85/ConfusionTranspose/Transpose,N/A,N/A,1788520315808677.060	,7.420,0.000000,0
6,MatMul_11,N/A,N/A,1788520315808684.500	,3.480,0.080000,0
6,InplaceAddRmsNorm_4,N/A,N/A,1788520315808688.000	,3.460,0.020000,0
6,MatMul_12,N/A,N/A,1788520315808691.480	,4.800,0.040000,0
6,MatMul_13,N/A,N/A,1788520315808696.300	,4.220,0.000000,0
6,Swish_2Mul_5,N/A,N/A,1788520315808700.560	,6.740,0.030000,0
6,MatMul_14,N/A,N/A,1788520315808707.340	,5.940,0.010000,0
6,InplaceAddRmsNorm_5,N/A,N/A,1788520315808713.340	,3.640,0.060000,0
6,MatMul_15,N/A,N/A,1788520315808717.000	,6.020,0.110000,0
6,SplitV_17,N/A,N/A,1788520315808723.040	,1.540,0.000000,0
6,ApplyRotaryPosEmb_3,N/A,N/A,1788520315808724.600	,6.160,0.000000,0
6,ConcatV2_12,N/A,N/A,1788520315808730.800	,2.060,0.090000,0
6,Transpose_26,N/A,N/A,1788520315808732.880	,7.640,0.190000,0
6,Scatter_14,N/A,N/A,1788520315808740.560	,2.800,0.000000,0
6,Scatter_15,N/A,N/A,1788520315808743.420	,2.840,0.200000,0
6,IncreFlashAttention_3,N/A,N/A,1788520315808747.620	,21.620,1.160000,0
6,Scatter_12,N/A,N/A,1788520315808770.100	,1.140,0.880000,0
6,BatchMatMul_6,N/A,N/A,1788520315808771.300	,5.220,0.110000,0
6,ScaledMaskedSoftmax_3,N/A,N/A,1788520315808776.540	,8.000,0.030000,0
6,Scatter_13,N/A,N/A,1788520315808784.560	,1.000,0.000000,0
6,BatchMatMul_7,N/A,N/A,1788520315808785.620	,11.080,0.000000,0
6,Reshape_111/ConfusionTranspose/Transpose,N/A,N/A,1788520315808796.720	,7.280,0.170000,0
6,MatMul_16,N/A,N/A,1788520315808804.020	,3.580,0.000000,0
6,InplaceAddRmsNorm_6,N/A,N/A,1788520315808807.620	,4.160,0.000000,0
6,MatMul_17,N/A,N/A,1788520315808811.800	,4.280,0.090000,0
6,MatMul_18,N/A,N/A,1788520315808816.100	,4.320,0.000000,0
6,Swish_3Mul_6,N/A,N/A,1788520315808820.440	,7.020,0.180000,0
6,MatMul_19,N/A,N/A,1788520315808827.480	,5.800,0.000000,0
6,InplaceAddRmsNorm_7,N/A,N/A,1788520315808833.340	,3.920,0.000000,0
6,MatMul_20,N/A,N/A,1788520315808837.280	,6.240,0.080000,0
6,SplitV_22,N/A,N/A,1788520315808843.540	,1.480,0.010000,0
6,ApplyRotaryPosEmb_4,N/A,N/A,1788520315808845.040	,5.340,0.020000,0
6,ConcatV2_14,N/A,N/A,1788520315808850.400	,1.920,0.160000,0
6,Transpose_34,N/A,N/A,1788520315808852.340	,7.700,0.000000,0
6,Scatter_18,N/A,N/A,1788520315808860.060	,2.760,0.050000,0
6,Scatter_19,N/A,N/A,1788520315808862.900	,2.900,0.240000,0
6,IncreFlashAttention_4,N/A,N/A,1788520315808867.200	,20.480,1.350000,0
6,Scatter_16,N/A,N/A,1788520315808888.420	,0.960,0.770000,0
6,BatchMatMul_8,N/A,N/A,1788520315808889.440	,5.280,0.040000,0
6,ScaledMaskedSoftmax_4,N/A,N/A,1788520315808894.740	,8.080,0.000000,0
6,Scatter_17,N/A,N/A,1788520315808902.840	,1.040,0.000000,0
6,BatchMatMul_9,N/A,N/A,1788520315808903.960	,10.560,0.210000,0
6,Reshape_137/ConfusionTranspose/Transpose,N/A,N/A,1788520315808914.540	,7.160,0.000000,0
6,MatMul_21,N/A,N/A,1788520315808921.740	,3.380,0.090000,0
6,InplaceAddRmsNorm_8,N/A,N/A,1788520315808925.160	,3.900,0.120000,0
6,MatMul_22,N/A,N/A,1788520315808929.080	,4.440,0.000000,0
6,MatMul_23,N/A,N/A,1788520315808933.540	,3.460,0.060000,0
6,Swish_4Mul_7,N/A,N/A,1788520315808937.020	,6.680,0.040000,0
6,MatMul_24,N/A,N/A,1788520315808943.720	,5.860,0.070000,0
6,InplaceAddRmsNorm_9,N/A,N/A,1788520315808949.660	,3.780,0.140000,0
6,MatMul_25,N/A,N/A,1788520315808953.460	,4.980,0.000000,0
6,SplitV_27,N/A,N/A,1788520315808958.460	,2.220,0.020000,0
6,ApplyRotaryPosEmb_5,N/A,N/A,1788520315808960.700	,4.980,0.030000,0
6,ConcatV2_16,N/A,N/A,1788520315808965.700	,1.900,0.020000,0
6,Transpose_42,N/A,N/A,1788520315808967.620	,8.180,0.000000,0
