Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
,6,17,211,37,IncreFlashAttention_13,IncreFlashAttention,static,MIX_AIC,1788650672616265.275	,22.020,0,24,48,NO,"""2,16,1,128;2,2,4096,128;2,2,4096,128;2,1,1,4096""",FLOAT16;FLOAT16;FLOAT16;BOOL,NCHW;NCHW;NCHW;NCHW,"""2,16,1,128""",FLOAT16,NCHW,0,19.28,832879,0.717,0.037,16.844,0.874,1.805,0.094,4.15,0.215,2.5,0.13,0.003,18.578,1605182,0.617,0.033,4.783,0.257,0.397,0.021,0.726,0.039,0.0,87.555
,6,17,212,37,MatMul_53,MatMul,static,AI_CORE,1788650672616288.015	,3.280,0.730000,22,0,NO,"""2,2048;128,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,1024""",FLOAT16,ND,N/A,4.749,188055,0.487,0.103,0.386,0.081,1.075,0.226,3.824,0.805,2.824,0.595,0.043,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.717
,6,17,213,37,InplaceAddRmsNorm_26,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788650672616291.315	,1.560,0.000000,2,0,NO,"""2,1,1024;2,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""2,1,1024;2,1,1;2,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,3471,0.282,0.293,0.462,0.479,0.324,0.336,0.341,0.354,0.033,0.000
,6,17,214,37,MatMul_54,MatMul,static,AI_CORE,1788650672616292.895	,5.780,0.190000,24,0,NO,"""2,1024;64,384,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,6144""",FLOAT16,ND,N/A,8.237,355830,1.076,0.131,0.933,0.113,2.429,0.295,6.274,0.762,2.855,0.347,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.505
,6,17,215,37,SwiGlu_13,SwiGlu,static,AI_VECTOR_CORE,1788650672616298.695	,2.280,0.000000,1,0,NO,"""2,1,6144""",FLOAT16,ND,"""2,1,3072""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,3204,0.795,0.447,0.839,0.472,0.206,0.116,0.169,0.095,0.027,0.000
,6,17,216,37,MatMul_55,MatMul,static,AI_CORE,1788650672616300.995	,5.220,0.000000,22,0,NO,"""2,3072;192,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,1024""",FLOAT16,ND,N/A,4.224,167289,0.73,0.173,0.189,0.045,1.647,0.39,2.455,0.581,1.293,0.306,0.119,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.184
,6,17,218,37,InplaceAddRmsNorm_27,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788650672616306.275	,1.660,0.030000,2,0,NO,"""2,1,1024;2,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""2,1,1024;2,1,1;2,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096,3944,0.282,0.258,0.558,0.509,0.326,0.298,0.369,0.337,0.033,0.000
,6,17,219,37,MatMul_56,MatMul,static,AI_CORE,1788650672616307.955	,3.520,0.090000,23,0,NO,"""2,1024;64,160,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,2560""",FLOAT16,ND,N/A,4.48,185484,0.527,0.118,0.449,0.1,1.126,0.251,3.339,0.745,1.22,0.272,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.978
,6,17,220,37,SplitV_14,SplitVD,static,AI_VECTOR_CORE,1788650672616311.495	,1.000,0.000000,1,0,NO,"""2,1,2560""",FLOAT16,ND,"""2,1,2048;2,1,256;2,1,256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451,812,0.008,0.017,0.099,0.22,0.142,0.315,0.166,0.367,0.0,0.000
,6,17,221,37,ApplyRotaryPosEmb_14,ApplyRotaryPosEmb,static,AI_VECTOR_CORE,1788650672616312.515	,1.960,0.000000,2,0,NO,"""2,1,16,128;2,1,2,128;2,1,1,128;2,1,1,128""",FLOAT16;FLOAT16;FLOAT16;FLOAT16,NCHW;NCHW;NCHW;NCHW,"""2,1,16,128;2,1,2,128""",FLOAT16;FLOAT16,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761,6338,0.153,0.087,0.98,0.556,0.699,0.397,0.155,0.088,0.015,0.000
