Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::record,,,69.89,90.22,0,0.02,0,0
record_event,,,20.33,20.33,0.02,0.02,0,0
Event::wait,,,46.5,61.03,0,0.02,0,0
wait_event,,,14.53,14.53,0.02,0.02,0,0
aten::select,"2,2;
;
",,23.52,33.55,0,0,0,0
aten::as_strided,"2,2;
;
;
",,10.03,10.03,0,0,0,0
aten::reshape,"2,1;
",,4.77,12.14,0,0,0,0
aten::view,"2,1;
",,7.37,7.37,0,0,0,0
aten::copy_,"2;
2;
",,9.43,19.66,0,1.84,0,0
acl_memcpy_device_to_host,,,10.23,10.23,1.84,1.84,0,0
Event::record,,,56.35,67.5,0,0.02,0,0
record_event,,,11.15,11.15,0.02,0.02,0,0
destroy_event,,,7.75,7.75,0,0,0,0
Event::synchronize,,,48.04,48.04,0,0,0,0
aten::select,"2,2;
;
",,8.19,14.2,0,0,0,0
aten::as_strided,"2,2;
;
;
",,6.01,6.01,0,0,0,0
aten::resolve_conj,2,,1.5,1.5,0,0,0,0
aten::resolve_neg,2,,1.07,1.07,0,0,0,0
destroy_event,,,11.43,11.43,0,0,0,0
serving.decode_step,,,257.19,1296.68,0,13.28,0,0
Event::record,,,119.53,134.43,0,0.02,0,0
record_event,,,14.9,14.9,0.02,0.02,0,0
cache_compiler inference,,,141.5,554.53,0,0,0,0
TorchDynamo Cache Lookup,,,145.15,145.15,0,0,0,0
Torch-Compiled Region: 5/0,,,111.15,267.88,0,0,0,0
TorchNpuGraphBase::Run,,,26.4,156.73,0,0,0,0
AssembleInputs,,,14.13,14.13,0,0,0,0
AssembleOutputs,,,13.24,13.24,0,0,0,0
ExecuteGraph,,,67.98,67.98,0,0,0,0
RefreshAtTensorFromGeTensor,,,10.68,34.98,0,0,0,0
aten::empty,";
;
;
;
;
",,8.1,17.48,0,0,0,0
empty_tensor,,,9.38,9.38,0,0,0,0
aten::set_,"0;
;
;
;
",,6.82,6.82,0,0,0,0
aten::reshape,"2,1;
",,5.0,11.59,0,0,0,0
aten::view,"2,1;
",,6.59,6.59,0,0,0,0
Event::record,,,118.09,134.35,0,0.02,0,0
record_event,,,16.26,16.26,0.02,0.02,0,0
aten::view,"2;
",,8.11,8.11,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,10.1,62.14,0,2.16,0,0
aten::empty_like,"2,1;
;
;
;
;
",,11.36,23.88,0,0,0,0
empty_tensor,,,12.52,12.52,0,0,0,0
aten::fill_,"2,1;
",,16.04,28.16,0,2.16,0,0
aclnnInplaceFillScalar,,,12.12,12.12,2.16,2.16,0,0
aten::where,"2,1;
2,1;
2,1",,15.02,31.62,0,3.12,0,0
empty_tensor,,,7.52,7.52,0,0,0,0
aclnnSWhere,,,9.08,9.08,3.12,3.12,0,0
aten::add,"2;
;
",,17.0,39.19,0,3.32,0,0
empty_tensor,,,5.4,5.4,0,0,0,0
aten::item,,,6.11,8.45,0,0,0,0
aten::_local_scalar_dense,,,2.34,2.34,0,0,0,0
aclnnAdds,,,8.34,8.34,3.32,3.32,0,0
aten::zeros_like,"2;
;
;
;
;
",,6.78,35.86,0,2.06,0,0
