Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::record,,,63.67,104.07,0,0.02,0,0
record_event,,,40.4,40.4,0.02,0.02,0,0
Event::wait,,,44.34,55.17,0,503.52,0,0
wait_event,,,10.83,10.83,503.52,503.52,0,0
aten::select,"2,2;
;
",,18.62,29.92,0,0,0,0
aten::as_strided,"2,2;
;
;
",,11.3,11.3,0,0,0,0
aten::reshape,"2,1;
",,3.98,10.83,0,0,0,0
aten::view,"2,1;
",,6.85,6.85,0,0,0,0
aten::copy_,"2;
2;
",,9.55,16.81,0,3.16,0,0
acl_memcpy_device_to_host,,,7.26,7.26,3.16,3.16,0,0
Event::record,,,53.38,62.07,0,0.02,0,0
record_event,,,8.69,8.69,0.02,0.02,0,0
destroy_event,,,5.77,5.77,0,0,0,0
Event::synchronize,,,57.24,57.24,0,0,0,0
aten::select,"2,2;
;
",,8.13,13.89,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.76,5.76,0,0,0,0
aten::resolve_conj,2,,1.73,1.73,0,0,0,0
aten::resolve_neg,2,,0.98,0.98,0,0,0,0
destroy_event,,,9.46,9.46,0,0,0,0
serving.decode_step,,,247.39,904.17,0,11.36,0,0
Event::record,,,107.32,118.62,0,0.02,0,0
record_event,,,11.3,11.3,0.02,0.02,0,0
cache_compiler inference,,,112.09,246.83,0,0,0,0
TorchNpuGraphBase::Run,,,25.01,134.74,0,0,0,0
AssembleInputs,,,10.93,10.93,0,0,0,0
AssembleOutputs,,,7.45,7.45,0,0,0,0
ExecuteGraph,,,59.31,59.31,0,0,0,0
RefreshAtTensorFromGeTensor,,,9.87,32.04,0,0,0,0
aten::empty,";
;
;
;
;
",,6.86,15.56,0,0,0,0
empty_tensor,,,8.7,8.7,0,0,0,0
aten::set_,"0;
;
;
;
",,6.61,6.61,0,0,0,0
aten::reshape,"2,1;
",,4.35,10.5,0,0,0,0
aten::view,"2,1;
",,6.15,6.15,0,0,0,0
Event::record,,,102.74,117.57,0,0.02,0,0
record_event,,,14.83,14.83,0.02,0.02,0,0
aten::view,"2;
",,6.89,6.89,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,6.78,51.06,0,1.92,0,0
aten::empty_like,"2,1;
;
;
;
;
",,7.34,19.26,0,0,0,0
empty_tensor,,,11.92,11.92,0,0,0,0
aten::fill_,"2,1;
",,14.89,25.02,0,1.92,0,0
aclnnInplaceFillScalar,,,10.13,10.13,1.92,1.92,0,0
aten::where,"2,1;
2,1;
2,1",,13.7,26.98,0,2.8,0,0
empty_tensor,,,6.62,6.62,0,0,0,0
aclnnSWhere,,,6.66,6.66,2.8,2.8,0,0
aten::add,"2;
;
",,14.81,29.9,0,2.94,0,0
empty_tensor,,,5.03,5.03,0,0,0,0
aten::item,,,2.22,3.81,0,0,0,0
aten::_local_scalar_dense,,,1.59,1.59,0,0,0,0
aclnnAdds,,,6.25,6.25,2.94,2.94,0,0
aten::zeros_like,"2;
;
;
;
;
",,6.13,29.16,0,1.8,0,0
aten::empty_like,"2;
;
;
;
;
",,5.41,10.55,0,0,0,0
empty_tensor,,,5.14,5.14,0,0,0,0
aten::zero_,2,,6.85,12.48,0,1.8,0,0
aclnnInplaceZero,,,5.63,5.63,1.8,1.8,0,0
aten::where,"2;
2;
2",,9.15,19.27,0,1.86,0,0
empty_tensor,,,5.28,5.28,0,0,0,0
aclnnSWhere,,,4.84,4.84,1.86,1.86,0,0
Event::record,,,53.82,66.92,0,0.02,0,0
record_event,,,13.1,13.1,0.02,0.02,0,0
Event::wait,,,40.81,51.55,0,409.8,0,0
wait_event,,,10.74,10.74,409.8,409.8,0,0
aten::select,"2,2;
;
",,9.26,14.35,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.09,5.09,0,0,0,0
aten::reshape,"2,1;
",,3.53,9.85,0,0,0,0
