Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
6,Range,N/A,N/A,1788518770082861.045	,8.220,0,0
6,Cast,N/A,N/A,1788518770082869.285	,0.820,0.030000,0
6,Range_1,N/A,N/A,1788518770082870.125	,9.220,0.000000,0
6,Cast_1,N/A,N/A,1788518770082879.365	,2.200,0.030000,0
6,GatherV2,N/A,N/A,1788518770082881.585	,2.540,0.050000,0
6,RmsNorm,N/A,N/A,1788518770082884.185	,9.160,0.210000,0
6,MatMul,N/A,N/A,1788518770082893.365	,10.460,0.000000,0
6,SplitV_2,N/A,N/A,1788518770082903.845	,1.200,0.040000,0
6,Add,N/A,N/A,1788518770082905.065	,2.760,0.050000,0
6,Add_1,N/A,N/A,1788518770082907.845	,1.500,0.000000,0
6,BroadcastTo_1,N/A,N/A,1788518770082909.365	,0.900,0.000000,0
6,Cast_2,N/A,N/A,1788518770082910.285	,0.900,0.100000,0
6,BroadcastTo_2,N/A,N/A,1788518770082911.205	,1.060,0.100000,0
6,Mul,N/A,N/A,1788518770082912.285	,8.240,0.000000,0
6,Greater,N/A,N/A,1788518770082920.545	,8.680,0.010000,0
6,Transpose,N/A,N/A,1788518770082929.245	,7.560,0.070000,0
6,ConcatV2,N/A,N/A,1788518770082936.825	,3.640,0.000000,0
6,Cos,N/A,N/A,1788518770082940.505	,2.240,0.110000,0
6,Mul_1Cast_6,N/A,N/A,1788518770082942.765	,1.220,0.010000,0
6,Sin,N/A,N/A,1788518770082944.005	,2.240,0.030000,0
6,Mul_2Cast_7,N/A,N/A,1788518770082946.265	,1.020,0.010000,0
6,SplitV,N/A,N/A,1788518770082947.305	,3.620,0.000000,0
6,GatherV2_2,N/A,N/A,1788518770082950.945	,1.020,0.130000,0
6,GatherV2_3,N/A,N/A,1788518770082952.005	,0.920,0.000000,0
6,GatherV2_5,N/A,N/A,1788518770082952.945	,0.880,0.080000,0
6,GatherV2_6,N/A,N/A,1788518770082953.845	,0.860,0.000000,0
6,SplitV_1,N/A,N/A,1788518770082954.745	,3.500,0.140000,0
6,GatherV2_11,N/A,N/A,1788518770082958.265	,0.940,0.000000,0
6,GatherV2_12,N/A,N/A,1788518770082959.225	,0.920,0.060000,0
6,GatherV2_8,N/A,N/A,1788518770082960.165	,0.940,0.080000,0
6,GatherV2_9,N/A,N/A,1788518770082961.125	,0.960,0.000000,0
6,BroadcastTo,N/A,N/A,1788518770082962.105	,7.940,0.040000,0
6,GatherV2_1,N/A,N/A,1788518770082970.085	,1.120,0.060000,0
6,GatherV2_10,N/A,N/A,1788518770082971.225	,0.800,0.130000,0
6,GatherV2_4,N/A,N/A,1788518770082972.065	,0.820,0.000000,0
6,GatherV2_7,N/A,N/A,1788518770082972.905	,0.820,0.180000,0
6,GatherV2_13,N/A,N/A,1788518770082973.745	,0.880,0.000000,0
6,GatherV2_14,N/A,N/A,1788518770082974.645	,0.780,0.120000,0
6,GatherV2_15,N/A,N/A,1788518770082975.445	,0.780,0.000000,0
6,GatherV2_16,N/A,N/A,1788518770082976.265	,0.820,0.000000,0
6,GatherV2_17,N/A,N/A,1788518770082977.105	,0.900,0.000000,0
6,GatherV2_18,N/A,N/A,1788518770082978.025	,0.820,0.100000,0
6,GatherV2_19,N/A,N/A,1788518770082978.865	,0.820,0.000000,0
