Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
6,GatherV2_1,N/A,N/A,1788518839756992.385	,2.520,0,0
6,GatherV2,N/A,N/A,1788518839756994.925	,2.480,0.000000,0
6,RmsNorm,N/A,N/A,1788518839756997.485	,10.820,0.020000,0
6,MatMul,N/A,N/A,1788518839757008.345	,10.380,0.000000,0
6,Range,N/A,N/A,1788518839757018.745	,9.500,0.120000,0
6,Cast,N/A,N/A,1788518839757028.285	,0.780,0.000000,0
6,Range_2,N/A,N/A,1788518839757029.085	,9.940,0.000000,0
6,Cast_2,N/A,N/A,1788518839757039.045	,1.080,0.060000,0
6,Range_1,N/A,N/A,1788518839757040.165	,8.380,0.170000,0
6,Cast_1,N/A,N/A,1788518839757048.565	,2.320,0.000000,0
6,SplitV_2,N/A,N/A,1788518839757050.905	,1.460,0.180000,0
6,StridedSliceV2_2,N/A,N/A,1788518839757052.385	,0.700,0.040000,0
6,StridedSliceV2_5,N/A,N/A,1788518839757053.125	,0.720,0.000000,0
6,Add,N/A,N/A,1788518839757053.885	,1.660,0.280000,0
6,Add_1,N/A,N/A,1788518839757055.565	,1.500,0.000000,0
6,BroadcastTo_1,N/A,N/A,1788518839757057.085	,0.900,0.000000,0
6,Cast_3,N/A,N/A,1788518839757058.005	,0.860,0.100000,0
6,BroadcastTo_2,N/A,N/A,1788518839757058.885	,0.940,0.140000,0
6,Mul,N/A,N/A,1788518839757059.865	,8.420,0.000000,0
6,Greater,N/A,N/A,1788518839757068.305	,8.520,0.080000,0
6,Transpose,N/A,N/A,1788518839757076.845	,8.000,0.000000,0
6,ConcatV2,N/A,N/A,1788518839757084.865	,3.660,0.000000,0
6,Cos,N/A,N/A,1788518839757088.545	,2.340,0.090000,0
6,Mul_1Cast_7,N/A,N/A,1788518839757090.905	,1.240,0.160000,0
6,Sin,N/A,N/A,1788518839757092.165	,2.240,0.010000,0
6,Mul_2Cast_8,N/A,N/A,1788518839757094.425	,1.300,0.010000,0
6,SplitV,N/A,N/A,1788518839757095.745	,3.700,0.000000,0
6,GatherV2_3,N/A,N/A,1788518839757099.485	,1.020,0.050000,0
6,GatherV2_4,N/A,N/A,1788518839757100.525	,0.980,0.000000,0
6,GatherV2_6,N/A,N/A,1788518839757101.525	,0.840,0.020000,0
6,GatherV2_7,N/A,N/A,1788518839757102.385	,0.900,0.160000,0
6,SplitV_1,N/A,N/A,1788518839757103.305	,3.420,0.000000,0
6,GatherV2_10,N/A,N/A,1788518839757106.745	,0.900,0.080000,0
6,GatherV2_12,N/A,N/A,1788518839757107.665	,0.880,0.100000,0
6,GatherV2_13,N/A,N/A,1788518839757108.565	,0.860,0.000000,0
6,GatherV2_9,N/A,N/A,1788518839757109.445	,0.920,0.140000,0
6,BroadcastTo,N/A,N/A,1788518839757110.385	,8.540,0.080000,0
6,GatherV2_11,N/A,N/A,1788518839757118.965	,1.040,0.000000,0
6,GatherV2_2,N/A,N/A,1788518839757120.025	,0.920,0.000000,0
6,GatherV2_5,N/A,N/A,1788518839757120.965	,0.880,0.080000,0
6,GatherV2_8,N/A,N/A,1788518839757121.865	,0.900,0.000000,0
6,ConcatV2_1,N/A,N/A,1788518839757122.785	,3.380,0.100000,0
6,ConcatV2_2,N/A,N/A,1788518839757126.185	,3.220,0.120000,0
6,GatherV2_15,N/A,N/A,1788518839757129.425	,0.920,0.030000,0
6,GatherV2_16,N/A,N/A,1788518839757130.365	,0.880,0.000000,0
6,GatherV2_17,N/A,N/A,1788518839757131.265	,0.860,0.120000,0
6,GatherV2_18,N/A,N/A,1788518839757132.145	,0.880,0.140000,0
6,GatherV2_19,N/A,N/A,1788518839757133.045	,0.820,0.000000,0
6,GatherV2_20,N/A,N/A,1788518839757133.885	,0.880,0.180000,0
6,GatherV2_21,N/A,N/A,1788518839757134.785	,0.800,0.000000,0
6,GatherV2_22,N/A,N/A,1788518839757135.625	,0.860,0.000000,0
6,GatherV2_23,N/A,N/A,1788518839757136.505	,0.900,0.140000,0
6,GatherV2_24,N/A,N/A,1788518839757137.425	,0.840,0.100000,0
6,GatherV2_25,N/A,N/A,1788518839757138.285	,0.820,0.000000,0
6,GatherV2_26,N/A,N/A,1788518839757139.145	,0.840,0.180000,0
6,GatherV2_27,N/A,N/A,1788518839757140.005	,0.840,0.000000,0
6,GatherV2_28,N/A,N/A,1788518839757140.865	,0.820,0.000000,0
6,GatherV2_29,N/A,N/A,1788518839757141.725	,0.820,0.180000,0
6,GatherV2_30,N/A,N/A,1788518839757142.585	,0.840,0.000000,0
