Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
,6,17,64,37,IncreFlashAttention_3,IncreFlashAttention,static,MIX_AIC,1788636654640653.290	,21.260,0,24,48,NO,"""2,16,1,128;2,2,4096,128;2,2,4096,128;2,1,1,4096""",FLOAT16;FLOAT16;FLOAT16;BOOL,NCHW;NCHW;NCHW;NCHW,"""2,16,1,128""",FLOAT16,NCHW,0,18.383,794135,0.717,0.039,15.734,0.856,1.801,0.098,3.39,0.184,1.969,0.107,0.006,17.686,1528069,0.617,0.035,4.942,0.279,0.369,0.021,0.72,0.041,0.001,86.466
,6,17,65,37,MatMul_16,MatMul,static,AI_CORE,1788636654640675.730	,3.360,1.240000,22,0,NO,"""2,2048;128,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,1024""",FLOAT16,ND,N/A,3.095,122577,0.487,0.157,0.375,0.121,1.097,0.354,2.261,0.73,1.252,0.404,0.002,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.447
,6,17,66,37,InplaceAddRmsNorm_6,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788636654640679.110	,1.680,0.000000,2,0,NO,"""2,1,1024;2,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""2,1,1024;2,1,1;2,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209,4352,0.282,0.233,0.416,0.344,0.402,0.333,0.388,0.321,0.219,0.000
,6,17,67,37,MatMul_17,MatMul,static,AI_CORE,1788636654640680.810	,6.840,0.070000,24,0,NO,"""2,1024;64,192,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,3072""",FLOAT16,ND,N/A,5.604,242111,0.538,0.096,0.156,0.028,1.264,0.225,2.786,0.497,1.298,0.232,0.152,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.936
,6,17,68,37,MatMul_18,MatMul,static,AI_CORE,1788636654640687.670	,4.000,0.160000,24,0,NO,"""2,1024;64,192,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,3072""",FLOAT16,ND,N/A,4.168,180039,0.538,0.129,0.753,0.181,1.276,0.306,2.776,0.666,1.251,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.189
,6,17,69,37,Swish_3Mul_3,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1788636654640691.690	,2.160,0.000000,6,0,NO,"""2,1,3072;2,1,3072""",FLOAT16;FLOAT16,ND;ND,"""2,1,3072""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323,14284,0.163,0.123,0.132,0.1,0.152,0.115,0.152,0.115,0.215,0.000
,6,17,70,37,MatMul_19,MatMul,static,AI_CORE,1788636654640693.870	,6.260,0.000000,22,0,NO,"""2,3072;192,64,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,1024""",FLOAT16,ND,N/A,5.721,226559,0.73,0.128,0.18,0.031,1.62,0.283,3.16,0.552,1.238,0.216,0.146,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.777
,6,17,72,37,InplaceAddRmsNorm_7,InplaceAddRmsNorm,static,AI_VECTOR_CORE,1788636654640700.210	,1.700,0.240000,2,0,NO,"""2,1,1024;2,1,1024;1024""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""2,1,1024;2,1,1;2,1,1024""",FLOAT16;FLOAT;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.204,4336,0.282,0.234,0.463,0.385,0.336,0.279,0.385,0.32,0.219,0.000
,6,17,73,37,MatMul_20,MatMul,static,AI_CORE,1788636654640701.950	,5.900,0.050000,23,0,NO,"""2,1024;64,160,16,16""",FLOAT16;FLOAT16,ND;FRACTAL_NZ,"""2,2560""",FLOAT16,ND,N/A,4.895,202642,0.527,0.108,0.158,0.032,1.167,0.238,2.204,0.45,1.303,0.266,0.138,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.505
,6,17,74,37,SplitV_4,SplitVD,static,AI_VECTOR_CORE,1788636654640707.870	,1.100,0.000000,1,0,NO,"""2,1,2560""",FLOAT16,ND,"""2,1,2048;2,1,256;2,1,256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599,1079,0.008,0.013,0.152,0.254,0.141,0.234,0.161,0.268,0.263,0.000
