Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,MatMul,AI_CORE,1895,10757.28,3.22,5.676,14.84,42.232
6,IncreFlashAttention,MIX_AIC,374,8018.9,16.86,21.44,34.02,31.482
6,InplaceAddRmsNorm,AI_VECTOR_CORE,750,1425.36,1.54,1.9,4.64,5.596
6,ApplyRotaryPosEmb,AI_VECTOR_CORE,374,1230.98,1.96,3.291,8.04,4.833
6,Scatter,AI_VECTOR_CORE,748,1179.96,1.02,1.577,4.64,4.632
6,AutomaticBufferFusionOp,AI_VECTOR_CORE,375,758.92,1.74,2.023,2.52,2.979
6,SplitVD,AI_VECTOR_CORE,374,440.46,1,1.177,2.44,1.729
6,GatherV2,AI_VECTOR_CORE,82,281.54,1.46,3.433,8.68,1.105
6,Cast,AI_VECTOR_CORE,62,205.96,1.04,3.321,6.28,0.809
6,ArgMaxV2,AI_VECTOR_CORE,21,198.86,9.38,9.469,9.64,0.781
6,Range,AI_VECTOR_CORE,20,190.32,9.34,9.516,9.78,0.747
6,RmsNorm,AI_VECTOR_CORE,20,188.64,8.4,9.432,10.84,0.741
6,Greater,AI_VECTOR_CORE,20,179.08,7.34,8.954,10.66,0.703
6,Add,AI_VECTOR_CORE,41,113.56,2.26,2.769,3.1,0.446
6,SelectV2,AI_VECTOR_CORE,42,98.66,1.82,2.349,3.24,0.387
6,Data,AI_VECTOR_CORE,20,98.42,4.62,4.921,5.2,0.386
6,Fill,AI_VECTOR_CORE,21,44.06,1.82,2.098,2.64,0.173
6,ZerosLike,AI_VECTOR_CORE,21,37.26,1.7,1.774,1.96,0.146
6,Unpack,AI_VECTOR_CORE,20,23.38,1.08,1.169,1.28,0.092
