Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::record,,,64.34,82.57,0,0.0,0,0
record_event,,,18.23,18.23,0.0,0.0,0,0
Event::wait,,,42.31,52.9,0,554.28,0,0
wait_event,,,10.59,10.59,554.28,554.28,0,0
aten::select,"2,2;
;
",,21.67,31.46,0,0,0,0
aten::as_strided,"2,2;
;
;
",,9.79,9.79,0,0,0,0
aten::reshape,"2,1;
",,3.9,10.63,0,0,0,0
aten::view,"2,1;
",,6.73,6.73,0,0,0,0
aten::copy_,"2;
2;
",,8.98,16.67,0,1.9,0,0
acl_memcpy_device_to_host,,,7.69,7.69,1.9,1.9,0,0
Event::record,,,51.99,61.78,0,0.02,0,0
record_event,,,9.79,9.79,0.02,0.02,0,0
destroy_event,,,6.6,6.6,0,0,0,0
Event::synchronize,,,58.02,58.02,0,0,0,0
aten::select,"2,2;
;
",,8.51,13.17,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.66,4.66,0,0,0,0
aten::resolve_conj,2,,1.76,1.76,0,0,0,0
aten::resolve_neg,2,,0.97,0.97,0,0,0,0
destroy_event,,,9.86,9.86,0,0,0,0
serving.decode_step,,,244.07,906.35,0,11.14,0,0
Event::record,,,100.82,113.57,0,0.02,0,0
record_event,,,12.75,12.75,0.02,0.02,0,0
cache_compiler inference,,,115.92,260.76,0,0,0,0
TorchNpuGraphBase::Run,,,25.56,144.84,0,0,0,0
AssembleInputs,,,11.0,11.0,0,0,0,0
AssembleOutputs,,,7.97,7.97,0,0,0,0
ExecuteGraph,,,69.58,69.58,0,0,0,0
RefreshAtTensorFromGeTensor,,,8.96,30.73,0,0,0,0
aten::empty,";
;
;
;
;
",,7.35,15.78,0,0,0,0
empty_tensor,,,8.43,8.43,0,0,0,0
aten::set_,"0;
;
;
;
",,5.99,5.99,0,0,0,0
aten::reshape,"2,1;
",,4.52,10.56,0,0,0,0
aten::view,"2,1;
",,6.04,6.04,0,0,0,0
Event::record,,,102.8,116.84,0,0.0,0,0
record_event,,,14.04,14.04,0.0,0.0,0,0
aten::view,"2;
",,7.2,7.2,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,7.19,51.48,0,1.92,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.55,18.66,0,0,0,0
empty_tensor,,,12.11,12.11,0,0,0,0
aten::fill_,"2,1;
",,14.81,25.63,0,1.92,0,0
aclnnInplaceFillScalar,,,10.82,10.82,1.92,1.92,0,0
aten::where,"2,1;
2,1;
2,1",,13.09,26.79,0,2.68,0,0
empty_tensor,,,6.94,6.94,0,0,0,0
aclnnSWhere,,,6.76,6.76,2.68,2.68,0,0
aten::add,"2;
;
",,14.62,28.85,0,2.9,0,0
empty_tensor,,,5.03,5.03,0,0,0,0
aten::item,,,2.2,3.73,0,0,0,0
aten::_local_scalar_dense,,,1.53,1.53,0,0,0,0
aclnnAdds,,,5.47,5.47,2.9,2.9,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.38,27.1,0,1.8,0,0
aten::empty_like,"2;
;
;
;
;
",,5.39,9.98,0,0,0,0
empty_tensor,,,4.59,4.59,0,0,0,0
aten::zero_,2,,6.55,11.74,0,1.8,0,0
aclnnInplaceZero,,,5.19,5.19,1.8,1.8,0,0
aten::where,"2;
2;
2",,9.0,19.13,0,1.82,0,0
empty_tensor,,,4.9,4.9,0,0,0,0
aclnnSWhere,,,5.23,5.23,1.82,1.82,0,0
Event::record,,,52.83,66.19,0,0.02,0,0
record_event,,,13.36,13.36,0.02,0.02,0,0
Event::wait,,,38.05,47.98,0,415.88,0,0
wait_event,,,9.93,9.93,415.88,415.88,0,0
aten::select,"2,2;
;
",,8.31,14.47,0,0,0,0
aten::as_strided,"2,2;
;
;
",,6.16,6.16,0,0,0,0
aten::reshape,"2,1;
",,3.5,9.57,0,0,0,0
aten::view,"2,1;
",,6.07,6.07,0,0,0,0
aten::copy_,"2;
2;
",,8.68,16.39,0,1.78,0,0
acl_memcpy_device_to_host,,,7.71,7.71,1.78,1.78,0,0
Event::record,,,48.37,56.95,0,0.02,0,0
record_event,,,8.58,8.58,0.02,0.02,0,0
destroy_event,,,5.79,5.79,0,0,0,0
Event::synchronize,,,42.84,42.84,0,0,0,0
aten::select,"2,2;
;
",,8.82,13.4,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.58,4.58,0,0,0,0
aten::resolve_conj,2,,1.21,1.21,0,0,0,0
aten::resolve_neg,2,,0.87,0.87,0,0,0,0
destroy_event,,,10.2,10.2,0,0,0,0
serving.decode_step,,,226.96,871.47,0,11.12,0,0
