Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
serving.vision_embeddings,,,534.57,1300.19,0,8555.7,0,8225.66
aten::reshape,"1,3840,3,14,14;
",,25.46,52.84,0,0,0,0
aten::view,"1,3840,3,14,14;
",,27.38,27.38,0,0,0,0
aten::to,"3840,3,14,14;
;
;
;
",,4.7,4.7,0,0,0,0
aten::conv2d,"3840,3,14,14;
1152,3,14,14;
1152;
;
;
;
",,10.36,232.93,0,8299.039999999999,0,8225.66
aten::convolution,"3840,3,14,14;
1152,3,14,14;
1152;
;
;
;
;
;
",,18.21,222.57,0,8299.039999999999,0,8225.66
aten::_convolution,"3840,3,14,14;
1152,3,14,14;
1152;
;
;
;
;
;
;
;
;
;
",,137.68,204.36,0,8299.039999999999,0,8225.66
empty_tensor,,,42.96,42.96,0,0,0,0
Conv2D,,,23.72,23.72,8299.039999999999,8299.039999999999,8225.66,8225.66
aten::flatten,"3840,1152,1,1;
;
",,8.05,15.37,0,0,0,0
aten::view,"3840,1152,1,1;
",,7.32,7.32,0,0,0,0
aten::squeeze,"3840,1152,1;
",,8.84,18.89,0,0,0,0
aten::as_strided,"3840,1152,1;
;
;
",,10.05,10.05,0,0,0,0
aten::reshape,"3840,1152;
",,2.69,5.98,0,0,0,0
aten::view,"3840,1152;
",,3.29,3.29,0,0,0,0
aten::squeeze,"1,3840,1152;
",,4.84,8.49,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,3.65,3.65,0,0,0,0
aten::unbind,"1,3;
",,6.97,29.38,0,0,0,0
aten::select,"1,3;
;
",,14.19,22.41,0,0,0,0
aten::as_strided,"1,3;
;
;
",,8.22,8.22,0,0,0,0
aten::unbind,"3;
",,3.93,21.08,0,0,0,0
aten::select,"3;
;
",,3.58,6.17,0,0,0,0
aten::as_strided,"3;
;
;
",,2.59,2.59,0,0,0,0
aten::select,"3;
;
",,2.94,5.13,0,0,0,0
aten::as_strided,"3;
;
;
",,2.19,2.19,0,0,0,0
aten::select,"3;
;
",,3.52,5.85,0,0,0,0
aten::as_strided,"3;
;
;
",,2.33,2.33,0,0,0,0
aten::item,,,5.43,9.58,0,0,0,0
aten::_local_scalar_dense,,,4.15,4.15,0,0,0,0
aten::item,,,1.94,2.94,0,0,0,0
aten::_local_scalar_dense,,,1.0,1.0,0,0,0,0
aten::item,,,1.61,2.64,0,0,0,0
aten::_local_scalar_dense,,,1.03,1.03,0,0,0,0
aten::alias,"3840,1152",,7.82,7.82,0,0,0,0
aten::unsqueeze,"729,1152;
",,6.32,11.01,0,0,0,0
aten::as_strided,"729,1152;
;
;
",,4.69,4.69,0,0,0,0
aten::reshape,"1,729,1152;
",,2.8,6.33,0,0,0,0
aten::view,"1,729,1152;
",,3.53,3.53,0,0,0,0
aten::permute,"1,27,27,1152;
",,7.86,12.51,0,0,0,0
aten::as_strided,"1,27,27,1152;
;
;
",,4.65,4.65,0,0,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
",,9.1,83.27,0,184.82,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
;
",,53.4,74.17,0,184.82,0,0
empty_tensor,,,15.94,15.94,0,0,0,0
aclnnUpsampleBilinear2d,,,4.83,4.83,184.82,184.82,0,0
aten::permute,"1,1152,48,80;
",,4.59,10.62,0,0,0,0
aten::as_strided,"1,1152,48,80;
;
;
",,6.03,6.03,0,0,0,0
aten::view,"1,48,80,1152;
",,4.12,4.12,0,0,0,0
aten::squeeze,"1,3840,1152;
",,3.86,7.7,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,3.84,3.84,0,0,0,0
aten::repeat,"3840,1152;
",,20.87,31.51,0,38.18,0,0
empty_tensor,,,7.71,7.71,0,0,0,0
aclnnRepeat,,,2.93,2.93,38.18,38.18,0,0
aten::add,"3840,1152;
3840,1152;
",,41.15,151.9,0,22.3,0,0
empty_tensor,,,5.59,5.59,0,0,0,0
format_contiguousV2,"3840,1152",,27.5,102.36,0,11.3,0,0
npu::npu_format_cast,"3840,1152;
;
;
",,7.71,69.51,0,11.3,0,0
npu::_npu_format_cast,"3840,1152;
",,42.32,61.8,0,11.3,0,0
empty_tensor,,,5.84,5.84,0,0,0,0
Identity,,,4.03,4.03,11.3,11.3,0,0
aten::set_,"3840,1152,1,1;
;
;
;
",,9.61,9.61,0,0,0,0
npu::npu_reshape,"3840,1152;
;
;
3840,1152",,5.35,5.35,0,0,0,0
Add,,,2.8,2.8,11.0,11.0,0,0
aten::cat,";
",,24.5,34.01,0,11.36,0,0
empty_tensor,,,6.87,6.87,0,0,0,0
aclnnCat,,,2.64,2.64,11.36,11.36,0,0
