Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
6,4294967295,65149,3,trans_TransData_1,TransData,dynamic,AI_VECTOR_CORE,1788647883289793.235	,28.760,0,46,0,NO,"""3840,3,14,14""",FLOAT16,NCHW,"""3840,1,14,14,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92,2063342,4.875,0.196,7.646,0.307,9.267,0.372,6.352,0.255,0.014,0.000
6,4294967295,65150,3,trans_TransData_2_MemSet,MemSet,dynamic,AI_VECTOR_CORE,1788647883289883.415	,10.120,61.490000,48,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.175,706340,0.313,0.038,0.225,0.028,0.554,0.068,3.648,0.446,0.357,0.000
6,4294967295,65151,3,trans_TransData_2,TransData,dynamic,AI_VECTOR_CORE,1788647883289893.555	,31.120,0.000000,48,0,NO,"""1152,3,14,14""",FLOAT16,NCHW,"""196,72,16,16""",FLOAT16,FRACTAL_Z,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,2099481,3.347,0.138,3.495,0.144,10.231,0.421,5.268,0.217,0.048,0.000
6,4294967295,65152,3,Conv2D2,Conv2D,dynamic,AI_CORE,1788647883289924.715	,8205.400,0.130000,24,0,YES,"""3840,1,14,14,16;196,72,16,16;1152""",FLOAT16;FLOAT16;FLOAT16,NC1HWC0;FRACTAL_Z;NCHW,"""3840,72,1,1,16""",FLOAT16,NC1HWC0,N/A,7654.365,330668559,2509.035,0.328,3359.155,0.439,2791.008,0.365,7344.668,0.96,1342.968,0.175,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.284
6,4294967295,65153,3,aclnnUpsampleBilinear2d_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1788647883298130.135	,29.160,0.100000,48,0,NO,"""27,27,1152;3""",FLOAT16;INT64,NCHW;ND,"""1152,27,27""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.113,1564949,0.401,0.022,4.969,0.274,4.297,0.237,2.38,0.131,0.054,0.000
6,4294967295,65154,3,aclnnUpsampleBilinear2d_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788647883298159.335	,1.500,0.000000,1,0,NO,"""2""",INT64,ND,"""2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.026,1846,0.064,0.062,0.398,0.388,0.098,0.095,0.076,0.074,0.168,0.000
6,4294967295,65155,3,aclnnUpsampleBilinear2d_TransDataSpecial_TransData,TransData,dynamic,AI_VECTOR_CORE,1788647883298160.855	,14.000,0.000000,36,0,NO,"""1,1152,27,27""",FLOAT16,NCHW,"""1,72,27,27,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.949,774292,0.15,0.013,0.989,0.083,2.951,0.247,0.962,0.081,0.138,0.000
6,4294967295,65156,3,aclnnUpsampleBilinear2d_TransDataSpecial_TransData,TransData,dynamic,AI_VECTOR_CORE,1788647883298174.875	,15.520,0.250000,36,0,NO,"""1,1152,48,80""",FLOAT16,NCHW,"""1,72,48,80,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.047,780648,0.62,0.051,1.468,0.122,5.179,0.43,3.212,0.267,0.079,0.000
6,4294967295,65157,3,aclnnUpsampleBilinear2d_ResizeBilinearV2AICORE_ResizeBilinearV2,ResizeBilinearV2,dynamic,AI_VECTOR_CORE,1788647883298190.415	,115.040,0.000000,45,0,NO,"""1,72,27,27,16;2""",FLOAT16;INT32,NC1HWC0;ND,"""1,72,48,80,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.016,8668289,89.48,0.836,13.511,0.126,15.893,0.149,10.717,0.1,0.012,0.000
6,4294967295,65158,3,aclnnUpsampleBilinear2d_TransData_TransData,TransData,dynamic,AI_VECTOR_CORE,1788647883298305.475	,14.120,0.000000,36,0,NO,"""1,72,48,80,16""",FLOAT16,NC1HWC0,"""1,1152,48,80""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.764,697479,2.863,0.266,1.469,0.137,2.721,0.253,2.693,0.25,0.057,0.000
