Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,ModelLoad,2272706.19,16,142044.137,60432.8,170287.98,674196042.812
host,acl,aclCreateDataBuffer,3.26,9,0.362,0.2,0.9,0.048
host,acl,aclCreateTensorDesc,7.17,9,0.797,0.37,2.26,0.329
host,acl,aclDestroyTensorDesc,5.38,9,0.598,0.29,2.21,0.341
host,acl,aclmdlRICaptureGetInfo,7.18,3,2.393,0.84,4.27,2.013
host,acl,aclnnCat,14.36,1,14.36,14.36,14.36,0
host,acl,aclnnRepeat,31.12,1,31.12,31.12,31.12,0
host,acl,aclnnUpsampleBilinear2d,76.87,1,76.87,76.87,76.87,0
host,acl,aclopCompileAndExecute,479.5,3,159.833,38.19,376.75,23642.316
host,acl,aclopCreateAttr,0.63,1,0.63,0.63,0.63,0
host,acl,aclopDestroyAttr,3.3,1,3.3,3.3,3.3,0
host,acl,aclrtGetStreamAttribute,3.62,3,1.207,0.61,2.29,0.589
host,acl,aclrtLaunchKernelWithHostArgs,53.57,9,5.952,2.74,14.61,20.166
host,acl,aclrtSynchronizeDeviceWithTimeout,7804.4,1,7804.4,7804.4,7804.4,0
host,node,launch,147899.6,11983,12.342,3.53,80.79,81.628
host,acl,opCompile,86.06,3,28.687,8.46,61.18,538.469
