Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
6,4294967295,43809,3,aclnnAddmm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1788648920651348.565	,86.020,0,24,0,NO,"""3840,588;1152,588;1152""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""3840,1152""",FLOAT16,ND,N/A,81.975,3541312,15.588,0.19,21.032,0.257,13.124,0.16,70.237,0.857,5.605,0.068,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.297
6,4294967295,43810,3,aclnnUpsampleBilinear2d_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1788648920651687.525	,23.380,252.980000,48,0,NO,"""27,27,1152;3""",FLOAT16;INT64,NCHW;ND,"""1152,27,27""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.978,1294107,0.401,0.027,5.089,0.34,4.691,0.313,2.561,0.171,0.055,0.000
6,4294967295,43811,3,aclnnUpsampleBilinear2d_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1788648920651710.925	,1.600,0.120000,1,0,NO,"""2""",INT64,ND,"""2""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068,1922,0.064,0.06,0.42,0.393,0.106,0.099,0.109,0.102,0.156,0.000
6,4294967295,43812,3,aclnnUpsampleBilinear2d_TransDataSpecial_TransData,TransData,dynamic,AI_VECTOR_CORE,1788648920651712.545	,14.500,0.000000,36,0,NO,"""1,1152,27,27""",FLOAT16,NCHW,"""1,72,27,27,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.607,752137,0.15,0.013,0.987,0.085,3.049,0.263,0.891,0.077,0.136,0.000
6,4294967295,43813,3,aclnnUpsampleBilinear2d_TransDataSpecial_TransData,TransData,dynamic,AI_VECTOR_CORE,1788648920651727.065	,13.900,0.000000,36,0,NO,"""1,1152,48,80""",FLOAT16,NCHW,"""1,72,48,80,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.952,709665,0.619,0.057,1.495,0.136,5.073,0.463,3.127,0.286,0.077,0.000
6,4294967295,43814,3,aclnnUpsampleBilinear2d_ResizeBilinearV2AICORE_ResizeBilinearV2,ResizeBilinearV2,dynamic,AI_VECTOR_CORE,1788648920651741.005	,115.960,0.100000,45,0,NO,"""1,72,27,27,16;2""",FLOAT16;INT32,NC1HWC0;ND,"""1,72,48,80,16""",FLOAT16,NC1HWC0,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.057,8752579,89.465,0.828,13.444,0.124,16.035,0.148,10.789,0.1,0.012,0.000
6,4294967295,43815,3,aclnnUpsampleBilinear2d_TransData_TransData,TransData,dynamic,AI_VECTOR_CORE,1788648920651856.985	,13.880,0.040000,36,0,NO,"""1,72,48,80,16""",FLOAT16,NC1HWC0,"""1,1152,48,80""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.748,696459,2.865,0.267,1.5,0.14,2.781,0.259,2.673,0.249,0.056,0.000
6,4294967295,43816,3,aclnnRepeat_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1788648920651870.885	,28.520,0.120000,48,0,NO,"""1152,3840;2""",FLOAT16;INT64,ND;ND,"""3840,1152""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.429,1678659,0.958,0.049,2.663,0.137,11.321,0.583,3.422,0.176,0.036,0.000
6,4294967295,43817,3,aclnnRepeat_TileAiCore_Tile,Tile,dynamic,AI_VECTOR_CORE,1788648920651899.445	,10.500,0.000000,48,0,NO,"""3840,1152;2""",FLOAT16;INT64,ND;ND,"""3840,1152""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.835,763321,0.008,0.001,0.334,0.038,4.432,0.502,2.084,0.236,0.095,0.000
6,4294967295,43818,3,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1788648920651909.965	,13.580,0.000000,48,0,NO,"""3840,1152;3840,1152""",FLOAT16;FLOAT16,ND;ND,"""3840,1152""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.087,1044347,0.701,0.058,0.416,0.034,7.844,0.649,3.112,0.257,0.047,0.000
