Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
serving.vision_embeddings,,,518.04,1114.54,0,331.24,0,82.26
aten::reshape,"1,3840,3,14,14;
",,20.35,49.05,0,0,0,0
aten::view,"1,3840,3,14,14;
",,28.7,28.7,0,0,0,0
aten::to,"3840,3,14,14;
;
;
;
",,6.43,6.43,0,0,0,0
aten::flatten,"3840,3,14,14;
;
",,7.48,13.69,0,0,0,0
aten::view,"3840,3,14,14;
",,6.21,6.21,0,0,0,0
aten::flatten,"1152,3,14,14;
;
",,3.8,10.22,0,0,0,0
aten::view,"1152,3,14,14;
",,6.42,6.42,0,0,0,0
aten::linear,"3840,588;
1152,588;
1152",,12.0,162.99,0,82.26,0,82.26
aten::t,"1152,588",,3.29,24.13,0,0,0,0
aten::transpose,"1152,588;
;
",,9.28,20.84,0,0,0,0
aten::as_strided,"1152,588;
;
;
",,11.56,11.56,0,0,0,0
aten::addmm,"1152;
3840,588;
588,1152;
;
",,60.9,126.86,0,82.26,0,82.26
empty_tensor,,,42.75,42.75,0,0,0,0
aclnnAddmm,,,23.21,23.21,82.26,82.26,82.26,82.26
aten::reshape,"3840,1152;
",,3.28,7.3,0,0,0,0
aten::view,"3840,1152;
",,4.02,4.02,0,0,0,0
aten::squeeze,"1,3840,1152;
",,11.81,17.03,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,5.22,5.22,0,0,0,0
aten::unbind,"1,3;
",,6.83,38.36,0,0,0,0
aten::select,"1,3;
;
",,22.04,31.53,0,0,0,0
aten::as_strided,"1,3;
;
;
",,9.49,9.49,0,0,0,0
aten::unbind,"3;
",,4.06,25.33,0,0,0,0
aten::select,"3;
;
",,4.19,6.97,0,0,0,0
aten::as_strided,"3;
;
;
",,2.78,2.78,0,0,0,0
aten::select,"3;
;
",,2.84,8.64,0,0,0,0
aten::as_strided,"3;
;
;
",,5.8,5.8,0,0,0,0
aten::select,"3;
;
",,2.99,5.66,0,0,0,0
aten::as_strided,"3;
;
;
",,2.67,2.67,0,0,0,0
aten::item,,,5.81,10.5,0,0,0,0
aten::_local_scalar_dense,,,4.69,4.69,0,0,0,0
aten::item,,,1.9,3.23,0,0,0,0
aten::_local_scalar_dense,,,1.33,1.33,0,0,0,0
aten::item,,,1.63,2.77,0,0,0,0
aten::_local_scalar_dense,,,1.14,1.14,0,0,0,0
aten::alias,"3840,1152",,6.74,6.74,0,0,0,0
aten::unsqueeze,"729,1152;
",,6.64,11.67,0,0,0,0
aten::as_strided,"729,1152;
;
;
",,5.03,5.03,0,0,0,0
aten::reshape,"1,729,1152;
",,3.26,7.54,0,0,0,0
aten::view,"1,729,1152;
",,4.28,4.28,0,0,0,0
aten::permute,"1,27,27,1152;
",,7.75,11.91,0,0,0,0
aten::as_strided,"1,27,27,1152;
;
;
",,4.16,4.16,0,0,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
",,8.58,78.63,0,186.5,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
;
",,37.57,70.05,0,186.5,0,0
empty_tensor,,,19.91,19.91,0,0,0,0
aclnnUpsampleBilinear2d,,,12.57,12.57,186.5,186.5,0,0
aten::permute,"1,1152,48,80;
",,4.95,10.29,0,0,0,0
aten::as_strided,"1,1152,48,80;
;
;
",,5.34,5.34,0,0,0,0
aten::view,"1,48,80,1152;
",,4.77,4.77,0,0,0,0
aten::squeeze,"1,3840,1152;
",,4.6,9.58,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,4.98,4.98,0,0,0,0
aten::repeat,"3840,1152;
",,22.97,41.81,0,38.0,0,0
empty_tensor,,,10.34,10.34,0,0,0,0
aclnnRepeat,,,8.5,8.5,38.0,38.0,0,0
aten::add,"3840,1152;
3840,1152;
",,24.06,31.72,0,13.54,0,0
empty_tensor,,,5.28,5.28,0,0,0,0
aclnnAdd,,,2.38,2.38,13.54,13.54,0,0
aten::cat,";
",,21.13,34.94,0,10.94,0,0
empty_tensor,,,6.2,6.2,0,0,0,0
aclnnCat,,,7.61,7.61,10.94,10.94,0,0
