Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,MatMul,AI_CORE,182,1522.34,4.28,8.364,136.16,52.672
6,IncreFlashAttention,MIX_AIC,36,755.48,17.56,20.985,29.04,26.139
6,InplaceAddRmsNorm,AI_VECTOR_CORE,72,116.68,1.42,1.62,2.08,4.037
6,ApplyRotaryPosEmb,AI_VECTOR_CORE,36,84.82,1.84,2.356,3.34,2.935
6,Scatter,AI_VECTOR_CORE,72,82.52,0.9,1.146,1.54,2.855
6,AutomaticBufferFusionOp,AI_VECTOR_CORE,36,55.74,1.36,1.548,1.76,1.929
6,GatherV2,AI_VECTOR_CORE,26,54.56,1,2.098,9.54,1.888
6,SplitVD,AI_VECTOR_CORE,40,54.54,0.98,1.363,4.06,1.887
6,Cast,AI_VECTOR_CORE,8,28.9,1.14,3.612,9.26,1
6,ArgMaxV2,AI_VECTOR_CORE,2,28.2,14.04,14.1,14.16,0.976
6,Range,AI_VECTOR_CORE,2,20.92,10.44,10.46,10.48,0.724
6,ConcatV2D,AI_VECTOR_CORE,6,13.22,1.3,2.203,3.88,0.457
6,RmsNorm,AI_VECTOR_CORE,2,10.74,5.32,5.37,5.42,0.372
6,SelectV2,AI_VECTOR_CORE,4,9.1,1.8,2.275,3.08,0.315
6,Add,AI_VECTOR_CORE,4,8.68,1.52,2.17,2.84,0.3
6,Data,AI_VECTOR_CORE,2,8.24,4.1,4.12,4.14,0.285
6,Greater,AI_VECTOR_CORE,2,7.46,3.72,3.73,3.74,0.258
6,Mul,AI_VECTOR_CORE,6,6.94,1,1.156,1.38,0.24
6,ZerosLike,AI_VECTOR_CORE,2,5.36,1.9,2.68,3.46,0.185
6,BroadcastTo,AI_VECTOR_CORE,4,4.9,1.2,1.225,1.26,0.17
6,Fill,AI_VECTOR_CORE,2,3.74,1.74,1.87,2,0.129
6,Cos,AI_VECTOR_CORE,2,3.66,1.8,1.83,1.86,0.127
6,Sin,AI_VECTOR_CORE,2,3.5,1.7,1.75,1.8,0.121
