Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,N/A,PROFILING_ENABLE,0,4,0.000,1785954086245806.325	,1785954086245806.325	
6,N/A,EVENT_RECORD,3,986,0.020,1785954086255262.985	,1785954086255263.005	
6,N/A,MEMCPY_ASYNC,3,987,2.500,1785954086256081.065	,1785954086256083.565	
6,UpdateModelParam,AI_VECTOR_CORE,3,988,4.140,1785954086256083.725	,1785954086256087.865	
6,N/A,PROFILER_TRACE_EX,3,989,0.020,1785954086256130.265	,1785954086256130.285	
6,N/A,MODEL_EXECUTE,3,990,3.780,1785954086256135.285	,1785954086256139.065	
6,te_range_ced84fc62b7a0b28b34330aa6ab26a5df9ce579384058adf938b1ae8f25e3518__kernel0,AI_VECTOR_CORE,6,0,10.480,1785954086256138.985	,1785954086256149.465	
6,te_cast_b33561806139361f6242dd033a11c2a1a75f16a76571932bfc26673b498ab667__kernel0,AI_VECTOR_CORE,6,1,2.600,1785954086256149.485	,1785954086256152.085	
6,te_gatherv2_d067fbabaa81e25832cc932602194081ed7fd80741e1163e90a10399d22d6160__kernel0,AI_VECTOR_CORE,6,2,8.320,1785954086256152.105	,1785954086256160.425	
6,N/A,NOTIFY_WAIT,3,991,1432.380,1785954086256157.645	,1785954086257590.025	
6,te_rmsnorm_495bf6eca8d3c4a46e9cd85c1f31387132b47a1c871cf6270e474109c1357a28__kernel0,AI_VECTOR_CORE,6,3,5.420,1785954086256160.465	,1785954086256165.885	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,4,7.540,1785954086256165.905	,1785954086256173.445	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,5,1.260,1785954086256173.465	,1785954086256174.725	
6,te_add_2eb04db1d54d7a15212bd44b1d37b3ecd9c751b3c20c97464d36440e64d59ccd__kernel0,AI_VECTOR_CORE,6,6,1.520,1785954086256174.765	,1785954086256176.285	
6,te_broadcastto_31d6a11de70ef7aaefb4432133b8a383c73d1f301d7483e5a3c3e69497fcc60d__kernel0,AI_VECTOR_CORE,6,7,1.200,1785954086256176.305	,1785954086256177.505	
6,te_cast_62368953e62d0f211d7fd1906affe4cac120befa439c957e78a88b143306e2a7__kernel0,AI_VECTOR_CORE,6,8,1.140,1785954086256177.525	,1785954086256178.665	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,9,1.260,1785954086256178.705	,1785954086256179.965	
6,te_broadcastto_a823b2959798ef7604d60472a6dae5e88c4052809868a2f65cb7f49800cbce2f__kernel0,AI_VECTOR_CORE,6,10,1.200,1785954086256179.985	,1785954086256181.185	
6,te_mul_d72c4b55c0b6aff757dba8cf842396e417b338f79e7bdc38e31f8eb3db635880__kernel0,AI_VECTOR_CORE,6,11,1.100,1785954086256181.205	,1785954086256182.305	
6,te_concatv2d_6ef2d5fa4913452019c68174ca369df5d4504fe581284e28d5f969b225617859__kernel0,AI_VECTOR_CORE,6,12,3.880,1785954086256182.345	,1785954086256186.225	
6,te_cos_22837cf154e5096bfc4e2a737faa2e7b11efb8ebd9ebc92fc789e4a7729de09e__kernel0,AI_VECTOR_CORE,6,13,1.860,1785954086256186.265	,1785954086256188.125	
6,te_fused_op_mul_cast_9e89437377c4abee7c565311e242beb8f80649dd5a426e6170ce2d3c5c0c8936__kernel0,AI_VECTOR_CORE,6,14,1.380,1785954086256188.145	,1785954086256189.525	
6,te_sin_b6e5b8223c5eaaf23c1ccd61b127f84479fea1e337f9c06e6c7de4dbf8810126__kernel0,AI_VECTOR_CORE,6,15,1.800,1785954086256189.545	,1785954086256191.345	
