Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,MatMul,AI_CORE,182,1758.16,4.28,9.66,176.44,54.169
6,IncreFlashAttention,MIX_AIC,36,783.22,19.3,21.756,34.02,24.131
6,InplaceAddRmsNorm,AI_VECTOR_CORE,72,118.32,1.44,1.643,2.3,3.645
6,Scatter,AI_VECTOR_CORE,72,95.8,0.94,1.33,2.66,2.952
6,ApplyRotaryPosEmb,AI_VECTOR_CORE,36,91.76,2.22,2.548,3.98,2.827
6,AutomaticBufferFusionOp,AI_VECTOR_CORE,38,66.84,1.42,1.758,4,2.059
6,GatherV2,AI_VECTOR_CORE,26,60.88,1.08,2.341,14,1.876
6,SplitVD,AI_VECTOR_CORE,40,56.62,0.98,1.415,3.9,1.744
6,Range,AI_VECTOR_CORE,4,37.18,8.9,9.295,9.7,1.146
6,Cast,AI_VECTOR_CORE,10,32.8,1.16,3.28,8.86,1.011
6,ArgMaxV2,AI_VECTOR_CORE,2,27.62,13.72,13.81,13.9,0.851
6,BroadcastTo,AI_VECTOR_CORE,6,17.18,1.2,2.863,6.2,0.529
6,ConcatV2D,AI_VECTOR_CORE,6,13.64,1.38,2.273,3.92,0.42
6,MaskedFill,AI_VECTOR_CORE,2,13.2,6.58,6.6,6.62,0.407
6,RmsNorm,AI_VECTOR_CORE,2,10.86,5.32,5.43,5.54,0.335
6,Data,AI_VECTOR_CORE,2,9.42,3.92,4.71,5.5,0.29
6,SelectV2,AI_VECTOR_CORE,4,8.48,1.74,2.12,2.54,0.261
6,Add,AI_VECTOR_CORE,4,8.4,1.38,2.1,2.92,0.259
6,Mul,AI_VECTOR_CORE,6,7.6,1.04,1.266,1.54,0.234
6,Greater,AI_VECTOR_CORE,2,7.3,3.64,3.65,3.66,0.225
6,Less,AI_VECTOR_CORE,2,6.18,3.08,3.09,3.1,0.19
6,Cos,AI_VECTOR_CORE,2,3.82,1.9,1.91,1.92,0.118
6,Sin,AI_VECTOR_CORE,2,3.8,1.9,1.9,1.9,0.117
6,ZerosLike,AI_VECTOR_CORE,2,3.34,1.64,1.67,1.7,0.103
6,Fill,AI_VECTOR_CORE,2,3.26,1.58,1.63,1.68,0.1
