Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,N/A,PROFILING_ENABLE,0,4,0.020,1785953640510372.795	,1785953640510372.815	
6,N/A,EVENT_RECORD,3,986,0.020,1785953640524923.895	,1785953640524923.915	
6,N/A,MEMCPY_ASYNC,3,987,2.520,1785953640525731.735	,1785953640525734.255	
6,UpdateModelParam,AI_VECTOR_CORE,3,988,5.500,1785953640525747.255	,1785953640525752.755	
6,N/A,PROFILER_TRACE_EX,3,989,0.000,1785953640525838.535	,1785953640525838.535	
6,N/A,MODEL_EXECUTE,3,990,5.560,1785953640525838.735	,1785953640525844.295	
6,te_gatherv2_d067fbabaa81e25832cc932602194081ed7fd80741e1163e90a10399d22d6160__kernel0,AI_VECTOR_CORE,6,0,14.000,1785953640525844.215	,1785953640525858.215	
6,N/A,NOTIFY_WAIT,3,991,1680.860,1785953640525855.655	,1785953640527536.515	
6,te_rmsnorm_495bf6eca8d3c4a46e9cd85c1f31387132b47a1c871cf6270e474109c1357a28__kernel0,AI_VECTOR_CORE,6,1,5.540,1785953640525858.255	,1785953640525863.795	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,2,9.520,1785953640525863.835	,1785953640525873.355	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,3,1.320,1785953640525873.375	,1785953640525874.695	
6,te_add_2eb04db1d54d7a15212bd44b1d37b3ecd9c751b3c20c97464d36440e64d59ccd__kernel0,AI_VECTOR_CORE,6,4,1.380,1785953640525874.715	,1785953640525876.095	
6,te_broadcastto_31d6a11de70ef7aaefb4432133b8a383c73d1f301d7483e5a3c3e69497fcc60d__kernel0,AI_VECTOR_CORE,6,5,1.220,1785953640525876.115	,1785953640525877.335	
6,te_cast_62368953e62d0f211d7fd1906affe4cac120befa439c957e78a88b143306e2a7__kernel0,AI_VECTOR_CORE,6,6,1.200,1785953640525877.355	,1785953640525878.555	
6,te_range_ced84fc62b7a0b28b34330aa6ab26a5df9ce579384058adf938b1ae8f25e3518__kernel0,AI_VECTOR_CORE,6,7,9.700,1785953640525878.575	,1785953640525888.275	
6,te_cast_b33561806139361f6242dd033a11c2a1a75f16a76571932bfc26673b498ab667__kernel0,AI_VECTOR_CORE,6,8,2.600,1785953640525888.295	,1785953640525890.895	
6,te_greater_645fbd8960057d25f1e75497e3d1b23634ea6c0c50406f8c2129d207ba45978a__kernel0,AI_VECTOR_CORE,6,9,3.640,1785953640525890.935	,1785953640525894.575	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,10,1.300,1785953640525894.595	,1785953640525895.895	
6,te_broadcastto_a823b2959798ef7604d60472a6dae5e88c4052809868a2f65cb7f49800cbce2f__kernel0,AI_VECTOR_CORE,6,11,1.300,1785953640525895.915	,1785953640525897.215	
6,te_mul_d72c4b55c0b6aff757dba8cf842396e417b338f79e7bdc38e31f8eb3db635880__kernel0,AI_VECTOR_CORE,6,12,1.140,1785953640525897.255	,1785953640525898.395	
6,te_concatv2d_6ef2d5fa4913452019c68174ca369df5d4504fe581284e28d5f969b225617859__kernel0,AI_VECTOR_CORE,6,13,3.920,1785953640525898.435	,1785953640525902.355	
6,te_cos_22837cf154e5096bfc4e2a737faa2e7b11efb8ebd9ebc92fc789e4a7729de09e__kernel0,AI_VECTOR_CORE,6,14,1.900,1785953640525902.375	,1785953640525904.275	
6,te_fused_op_mul_cast_9e89437377c4abee7c565311e242beb8f80649dd5a426e6170ce2d3c5c0c8936__kernel0,AI_VECTOR_CORE,6,15,1.540,1785953640525904.295	,1785953640525905.835	
6,te_sin_b6e5b8223c5eaaf23c1ccd61b127f84479fea1e337f9c06e6c7de4dbf8810126__kernel0,AI_VECTOR_CORE,6,16,1.900,1785953640525905.855	,1785953640525907.755	
6,te_fused_op_mul_cast_9e89437377c4abee7c565311e242beb8f80649dd5a426e6170ce2d3c5c0c8936__kernel0,AI_VECTOR_CORE,6,17,1.380,1785953640525907.795	,1785953640525909.175	
6,te_range_947f5c554c284eec0b277d09e071dcd332003bd8c83fdbb74e30cc6bc058ce9e__kernel0,AI_VECTOR_CORE,6,18,8.900,1785953640525909.195	,1785953640525918.095	
6,te_cast_3d785d9a54db8e61336ee22276cf214858dde2a841c7ec6d8ddaa33af0251362__kernel0,AI_VECTOR_CORE,6,19,2.560,1785953640525918.115	,1785953640525920.675	
6,te_fused_op_add_floor_mod_equal_equal_e3acb1f3bffe77890caafb9a865c534f22fd4a65f93f1b1ec8c6478b22a1dcd3__kernel0,AI_VECTOR_CORE,6,20,4.000,1785953640525920.695	,1785953640525924.695	
6,te_splitvd_6817ab6eaea992250c288ec92256c28b307b9b5829994527107c0f699826a1db__kernel0,AI_VECTOR_CORE,6,21,3.900,1785953640525924.715	,1785953640525928.615	
6,te_gatherv2_87ce8aacc2efdf1d42baef346fae26c5af3c023063a8a529a956b349dd8f817c__kernel0,AI_VECTOR_CORE,6,22,1.380,1785953640525928.635	,1785953640525930.015	
6,te_gatherv2_87ce8aacc2efdf1d42baef346fae26c5af3c023063a8a529a956b349dd8f817c__kernel0,AI_VECTOR_CORE,6,23,1.100,1785953640525930.035	,1785953640525931.135	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,24,1.860,1785953640525931.155	,1785953640525933.015	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,25,1.860,1785953640525933.035	,1785953640525934.895	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,26,1.900,1785953640525934.915	,1785953640525936.815	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,27,1.760,1785953640525936.835	,1785953640525938.595	
6,te_splitvd_6817ab6eaea992250c288ec92256c28b307b9b5829994527107c0f699826a1db__kernel0,AI_VECTOR_CORE,6,28,3.800,1785953640525938.615	,1785953640525942.415	
6,te_gatherv2_87ce8aacc2efdf1d42baef346fae26c5af3c023063a8a529a956b349dd8f817c__kernel0,AI_VECTOR_CORE,6,29,1.320,1785953640525942.435	,1785953640525943.755	
6,te_gatherv2_87ce8aacc2efdf1d42baef346fae26c5af3c023063a8a529a956b349dd8f817c__kernel0,AI_VECTOR_CORE,6,30,1.240,1785953640525943.775	,1785953640525945.015	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,31,1.600,1785953640525945.035	,1785953640525946.635	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,32,1.840,1785953640525946.655	,1785953640525948.495	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,33,1.600,1785953640525948.535	,1785953640525950.135	
6,te_gatherv2_4e80041f285f92e5f11955702804208cb08cb6905acd76a1bae3ad8e5e0e34f6__kernel0,AI_VECTOR_CORE,6,34,1.900,1785953640525950.155	,1785953640525952.055	
6,te_concatv2d_e697cfae3057799e346a5f0feee79b0b584dfd9384b07c99e984dd0e6b962476__kernel0,AI_VECTOR_CORE,6,35,1.440,1785953640525952.075	,1785953640525953.515	
6,te_concatv2d_e697cfae3057799e346a5f0feee79b0b584dfd9384b07c99e984dd0e6b962476__kernel0,AI_VECTOR_CORE,6,36,1.560,1785953640525953.535	,1785953640525955.095	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,37,3.980,1785953640525955.115	,1785953640525959.095	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,38,1.260,1785953640525959.135	,1785953640525960.395	
6,te_fused_op_less_logical_and_logical_and_logical_not_logical_and_f72aac9601800b448b2115353da786f846c056c72d49264ca545be3f8a7f737a__kernel0,AI_VECTOR_CORE,6,39,3.080,1785953640525960.435	,1785953640525963.515	
6,te_broadcastto_fc1ad6a046bd0d71736b40ab3372a2c9137fbc41368cd6183c566ec01df3145f__kernel0,AI_VECTOR_CORE,6,40,6.200,1785953640525963.535	,1785953640525969.735	
6,te_maskedfill_61cef3867d651addc2a0810945485420ab901d6c4b3b7e0306b87db8eee46f4c__kernel0,AI_VECTOR_CORE,6,41,6.620,1785953640525969.755	,1785953640525976.375	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,42,34.020,1785953640525977.555	,1785953640526011.575	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,43,7.540,1785953640526012.815	,1785953640526020.355	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,44,1.940,1785953640526020.375	,1785953640526022.315	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,45,10.060,1785953640526022.335	,1785953640526032.395	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,46,7.440,1785953640526032.415	,1785953640526039.855	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,47,1.720,1785953640526039.875	,1785953640526041.595	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,48,9.360,1785953640526041.615	,1785953640526050.975	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,49,1.540,1785953640526051.015	,1785953640526052.555	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,50,6.700,1785953640526052.575	,1785953640526059.275	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,51,1.040,1785953640526059.295	,1785953640526060.335	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,52,1.200,1785953640526060.355	,1785953640526061.555	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,53,2.280,1785953640526061.595	,1785953640526063.875	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,54,1.360,1785953640526063.895	,1785953640526065.255	
