Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMul,AI_CORE,273,2659.92,5.78,9.743,145.88,45.919
2,IncreFlashAttention,MIX_AIC,54,1522.88,25.66,28.201,34.68,26.29
2,InplaceAddRmsNorm,AI_VECTOR_CORE,108,338.88,2.16,3.137,4.62,5.85
2,Scatter,AI_VECTOR_CORE,108,327.22,2.22,3.029,5.48,5.649
2,ApplyRotaryPosEmb,AI_VECTOR_CORE,54,232.64,3.82,4.308,6.3,4.016
2,AutomaticBufferFusionOp,AI_VECTOR_CORE,54,209.88,3.2,3.886,8.26,3.623
2,SplitVD,AI_VECTOR_CORE,60,120.1,1.68,2.001,4.02,2.073
2,GatherV2,AI_VECTOR_CORE,39,56.26,1.04,1.442,4.58,0.971
2,ArgMaxV2,AI_VECTOR_CORE,3,48.8,16.18,16.266,16.34,0.842
2,Cast,AI_VECTOR_CORE,12,37.1,1.12,3.091,8.54,0.64
2,ConcatV2D,AI_VECTOR_CORE,9,33.7,3.4,3.744,4.06,0.582
2,Mul,AI_VECTOR_CORE,9,33.36,1.72,3.706,7.22,0.576
2,Range,AI_VECTOR_CORE,3,27.8,8.72,9.266,9.66,0.48
2,RmsNorm,AI_VECTOR_CORE,3,25.6,7.66,8.533,9.12,0.442
2,BroadcastTo,AI_VECTOR_CORE,6,25.26,1.12,4.21,7.44,0.436
2,Greater,AI_VECTOR_CORE,3,21.22,6.86,7.073,7.42,0.366
2,Data,AI_VECTOR_CORE,3,14.8,4.08,4.933,5.4,0.255
2,Add,AI_VECTOR_CORE,6,14.52,1.4,2.42,3.22,0.251
2,SelectV2,AI_VECTOR_CORE,6,12.3,1.8,2.05,2.4,0.212
2,Cos,AI_VECTOR_CORE,3,9.46,3.02,3.153,3.28,0.163
2,Sin,AI_VECTOR_CORE,3,9.2,3.04,3.066,3.1,0.159
2,Fill,AI_VECTOR_CORE,3,6.26,1.98,2.086,2.18,0.108
2,ZerosLike,AI_VECTOR_CORE,3,5.52,1.8,1.84,1.9,0.095
