2026-07-23 13:07:04 [INFO] [144456] [144456] [kernel_parser_worker.cpp:46] Start run KernelParserWorker
2026-07-23 13:07:04 [INFO] [144456] [144457] [kernel_parser_worker.cpp:58] Start parse hash data
2026-07-23 13:07:04 [INFO] [144456] [144457] [kernel_parser_worker.cpp:78] Hash data load from path: /workspace/repos/paddle_ocr_vl_npu/tmp/09_persistent_page_engine/text_decode_lab/npu_profiles/b16_k1024_p768_pipe_20260723_130703/liteserver-c001-4_143733_20260723130703613_ascend_pt/PROF_000001_20260723130703643_00143733MPGHOEJE/host/data
2026-07-23 13:07:04 [INFO] [144456] [144458] [kernel_parser_worker.cpp:62] Start parse type info data
2026-07-23 13:07:04 [INFO] [144456] [144458] [kernel_parser_worker.cpp:100] Typeinfo data load from path: /workspace/repos/paddle_ocr_vl_npu/tmp/09_persistent_page_engine/text_decode_lab/npu_profiles/b16_k1024_p768_pipe_20260723_130703/liteserver-c001-4_143733_20260723130703613_ascend_pt/PROF_000001_20260723130703643_00143733MPGHOEJE/host/data
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 7383439776149831
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 17421995467204288334
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 4116198631462780492
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 15270733942687104112
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 11455679755271659678
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 9121722233207160946
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 16062568128939123186
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 9711593804331549358
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 14455057689400669525
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 436336854339069248
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 7002292281251484380
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 259666737698492581
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 3003345164368360871
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 16535296516299154112
2026-07-23 13:07:04 [WARN] [144456] [144457] [hash_data.cpp:81] Duplicate hash found key: 7090398782807627396
