Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
2,2,789,3,UpdateModelParam_static_bin,Data,dynamic,AI_VECTOR_CORE,1784812023716961.505	,5.400,0,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896,8812,0.977,0.2,2.651,0.541,0.972,0.198,0.183,0.037,0.154,0.000
2,2,0,6,Range,Range,static,AI_VECTOR_CORE,1784812023717036.805	,9.660,69.850000,48,0,NO,""";;""",INT32;FLOAT;INT32,NCHW;NCHW;NCHW,"""1024""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165,532618,0.073,0.012,1.372,0.223,0.001,0.0,0.808,0.131,0.226,0.000
2,2,1,6,Cast,Cast,static,AI_VECTOR_CORE,1784812023717046.485	,1.520,0.090000,2,0,NO,"""1024""",FLOAT,NCHW,"""1024""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958,3447,0.031,0.032,0.117,0.122,0.114,0.119,0.247,0.258,0.261,0.000
2,2,2,6,GatherV2,GatherV2,static,AI_VECTOR_CORE,1784812023717048.025	,4.580,0.000000,16,0,NO,"""103424,1024;16,1;1""",FLOAT16;INT64;INT64,ND;ND;ND,"""16,1,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.891,83247,0.049,0.017,0.159,0.055,0.9,0.311,0.308,0.107,0.208,0.000
2,2,3,6,RmsNorm,RmsNorm,static,AI_VECTOR_CORE,1784812023717052.625	,8.820,0.000000,16,0,NO,"""16,1,1024;1024""",FLOAT16;FLOAT16,ND;ND,"""16,1,1024;16,1,1""",FLOAT16;FLOAT,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078,203859,0.799,0.113,2.414,0.341,0.652,0.092,0.391,0.055,0.163,0.000
2,2,4,6,MatMul,MatMul,static,AI_CORE,1784812023717061.485	,10.040,0.180000,23,0,NO,"""16,1024;2560,1024""",FLOAT16;FLOAT16,ND;ND,"""16,2560""",FLOAT16,ND,N/A,7.427,307484,0.529,0.071,0.358,0.048,1.257,0.169,4.295,0.578,0.317,0.043,0.187,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.893
2,2,5,6,SplitV_2,SplitVD,static,AI_VECTOR_CORE,1784812023717071.545	,2.000,0.000000,1,0,NO,"""16,1,2560""",FLOAT16,ND,"""16,1,2048;16,1,256;16,1,256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.531,2755,0.008,0.005,0.155,0.101,0.469,0.307,0.707,0.462,0.263,0.000
2,2,6,6,Add,Add,static,AI_VECTOR_CORE,1784812023717073.565	,1.840,0.000000,1,0,NO,"""16,1;16,1""",INT64;INT64,NCHW;NCHW,"""16,1""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357,2442,0.175,0.129,0.161,0.118,0.568,0.419,0.119,0.088,0.205,0.000
2,2,7,6,BroadcastTo,BroadcastTo,static,AI_VECTOR_CORE,1784812023717075.425	,1.120,0.160000,1,0,NO,"""1,16,1;3""",INT64;INT64,NCHW;NCHW,"""3,16,1""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,1181,0.034,0.052,0.147,0.224,0.087,0.132,0.161,0.245,0.208,0.000
2,2,8,6,Cast_1,Cast,static,AI_VECTOR_CORE,1784812023717076.565	,1.120,0.000000,1,0,NO,"""3,16,1,1""",INT64,NCHW,"""3,16,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,1146,0.019,0.03,0.1,0.157,0.127,0.199,0.157,0.246,0.263,0.000
