Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMul,AI_CORE,273,2625.26,6.04,9.616,141.9,57.3
2,IncreFlashAttention,MIX_AIC,54,977.88,16.06,18.108,21.98,21.344
2,InplaceAddRmsNorm,AI_VECTOR_CORE,108,206.48,1.5,1.911,3.8,4.507
2,ApplyRotaryPosEmb,AI_VECTOR_CORE,54,148.08,1.72,2.742,4.76,3.232
2,Scatter,AI_VECTOR_CORE,108,138.74,0.9,1.284,2.4,3.028
2,AutomaticBufferFusionOp,AI_VECTOR_CORE,54,87.46,1.4,1.619,2.28,1.909
2,SplitVD,AI_VECTOR_CORE,60,84.7,0.98,1.411,3.96,1.849
2,GatherV2,AI_VECTOR_CORE,39,81.14,1.02,2.08,8.42,1.771
2,ArgMaxV2,AI_VECTOR_CORE,3,41.22,13.62,13.74,13.88,0.9
2,Cast,AI_VECTOR_CORE,12,41.2,1.12,3.433,10.98,0.899
2,Range,AI_VECTOR_CORE,3,26.14,8.2,8.713,9.54,0.571
2,ConcatV2D,AI_VECTOR_CORE,9,20.2,1.26,2.244,4.12,0.441
2,RmsNorm,AI_VECTOR_CORE,3,17.18,5.36,5.726,6.28,0.375
2,Data,AI_VECTOR_CORE,3,14.46,4.14,4.82,5.94,0.316
2,SelectV2,AI_VECTOR_CORE,6,13.32,1.9,2.22,2.58,0.291
2,Add,AI_VECTOR_CORE,6,12.16,1.34,2.026,2.72,0.265
2,Mul,AI_VECTOR_CORE,9,10.22,1.02,1.135,1.36,0.223
2,BroadcastTo,AI_VECTOR_CORE,6,7.4,1.18,1.233,1.38,0.162
2,Greater,AI_VECTOR_CORE,3,7.22,2.32,2.406,2.58,0.158
2,Cos,AI_VECTOR_CORE,3,5.54,1.8,1.846,1.92,0.121
2,ZerosLike,AI_VECTOR_CORE,3,5.46,1.72,1.82,1.9,0.119
2,Sin,AI_VECTOR_CORE,3,5.38,1.78,1.793,1.82,0.117
2,Fill,AI_VECTOR_CORE,3,4.76,1.58,1.586,1.6,0.104
