Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,InputCopy,175.19,3,58.397,35.16,103.3,1008.565
host,model,ModelExecute,50.79,3,16.93,10.16,23.04,27.867
host,model,ModelLoad,57763.68,1,57763.68,57763.68,57763.68,0
host,model,OutputCopy,1.65,3,0.55,0.29,1.07,0.135
host,acl,aclnnAdds,44.28,3,14.76,9.87,21.86,26.402
host,acl,aclnnArgMax,59.24,3,19.747,11.7,34.37,107.281
host,acl,aclnnInplaceCopy,74.78,3,24.927,16.67,35.93,65.597
host,acl,aclnnInplaceFillScalar,30.89,3,10.297,8.73,12.82,3.246
host,acl,aclnnInplaceZero,32.92,3,10.973,7.31,14.68,9.054
host,acl,aclnnSWhere,62.03,6,10.338,6.69,16.17,11.774
host,acl,aclrtCreateEventExWithFlag,31.96,6,5.327,4.39,9.15,2.959
host,acl,aclrtGetStreamAttribute,10.29,21,0.49,0.36,1.41,0.047
host,acl,aclrtLaunchKernelWithHostArgs,185.33,27,6.864,2.49,17.58,17.169
host,acl,aclrtRecordEvent,75.2,6,12.533,6.49,34.66,99.133
host,acl,aclrtSynchronizeDeviceWithTimeout,893.48,2,446.74,11.23,882.25,189668.96
host,node,launch,4101.14,293,13.997,3.23,78.87,151.543
host,node,step_info,28.31,6,4.718,1.46,14.92,22.997
