role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Name,,MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Type,,cube,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Task Duration(us),,29.240000,29.24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Block Dim,,24,24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Mix Block Dim,,NA,,true,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Device Id,,5,5,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Pid,,717727,717727,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Current Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,op_basic_csv,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Rated Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,Memory,visualize_json,square/OPPROF_20260730110404_LFTRAPPOVDILQOST/visualize_data.bin,0x05,0,0,,cube,block_detail,duration_us,us,27.108889,27.108889,false,
