role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Name,,MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Type,,cube,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Task Duration(us),,29.360001,29.360001,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Block Dim,,24,24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Mix Block Dim,,NA,,true,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Device Id,,5,5,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Pid,,721263,721263,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Current Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,op_basic_csv,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Rated Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,0,,cube,block_detail,duration_us,us,27.374445,27.374445,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,1,,cube,block_detail,duration_us,us,28.705000,28.705,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,2,,cube,block_detail,duration_us,us,27.832222,27.832222,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,3,,cube,block_detail,duration_us,us,27.938334,27.938334,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,4,,cube,block_detail,duration_us,us,28.139999,28.139999,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,5,,cube,block_detail,duration_us,us,28.366112,28.366112,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,6,,cube,block_detail,duration_us,us,28.235556,28.235556,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,7,,cube,block_detail,duration_us,us,27.459999,27.459999,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,8,,cube,block_detail,duration_us,us,28.250555,28.250555,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,9,,cube,block_detail,duration_us,us,28.718334,28.718334,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,10,,cube,block_detail,duration_us,us,27.607222,27.607222,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,11,,cube,block_detail,duration_us,us,27.968889,27.968889,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,12,,cube,block_detail,duration_us,us,28.062222,28.062222,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,13,,cube,block_detail,duration_us,us,28.297222,28.297222,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,14,,cube,block_detail,duration_us,us,28.051111,28.051111,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,15,,cube,block_detail,duration_us,us,27.291111,27.291111,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,16,,cube,block_detail,duration_us,us,27.336111,27.336111,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,17,,cube,block_detail,duration_us,us,28.584444,28.584444,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,18,,cube,block_detail,duration_us,us,27.319445,27.319445,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,19,,cube,block_detail,duration_us,us,27.898333,27.898333,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,20,,cube,block_detail,duration_us,us,28.006666,28.006666,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,21,,cube,block_detail,duration_us,us,28.258888,28.258888,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,22,,cube,block_detail,duration_us,us,28.228333,28.228333,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x05,0,23,,cube,block_detail,duration_us,us,27.063334,27.063334,false,
square,MemoryDetail,visualize_json,square/OPPROF_20260730111258_VPUZMLPNTDBJLMEH/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube All Active,3,63.376224517822266,63.376224517822266,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
