role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Name,,MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Type,,cube,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Task Duration(us),,29.299999,29.299999,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Block Dim,,24,24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Mix Block Dim,,NA,,true,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Device Id,,5,5,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Pid,,718611,718611,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Current Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,op_basic_csv,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Rated Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,0,,cube,block_detail,duration_us,us,27.033333,27.033333,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,1,,cube,block_detail,duration_us,us,28.391111,28.391111,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,2,,cube,block_detail,duration_us,us,27.770000,27.77,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,3,,cube,block_detail,duration_us,us,27.730000,27.73,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,4,,cube,block_detail,duration_us,us,27.745001,27.745001,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,5,,cube,block_detail,duration_us,us,28.174444,28.174444,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,6,,cube,block_detail,duration_us,us,28.607779,28.607779,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,7,,cube,block_detail,duration_us,us,27.257223,27.257223,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,8,,cube,block_detail,duration_us,us,26.847778,26.847778,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,9,,cube,block_detail,duration_us,us,28.507778,28.507778,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,10,,cube,block_detail,duration_us,us,27.316111,27.316111,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,11,,cube,block_detail,duration_us,us,27.756111,27.756111,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,12,,cube,block_detail,duration_us,us,27.501112,27.501112,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,13,,cube,block_detail,duration_us,us,28.227777,28.227777,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,14,,cube,block_detail,duration_us,us,28.149445,28.149445,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,15,,cube,block_detail,duration_us,us,27.069445,27.069445,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,16,,cube,block_detail,duration_us,us,26.836666,26.836666,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,17,,cube,block_detail,duration_us,us,28.098888,28.098888,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,18,,cube,block_detail,duration_us,us,27.457777,27.457777,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,19,,cube,block_detail,duration_us,us,27.632223,27.632223,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,20,,cube,block_detail,duration_us,us,27.498888,27.498888,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,21,,cube,block_detail,duration_us,us,28.325001,28.325001,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,22,,cube,block_detail,duration_us,us,28.108889,28.108889,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x05,0,23,,cube,block_detail,duration_us,us,26.924444,26.924444,false,
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube All Active,3,64.63214111328125,64.63214111328125,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube All Active,3,31450.0,31450.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube FP,3,64.63214111328125,64.63214111328125,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube FP,3,31450.0,31450.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube INT,3,0.0,0.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail,Cube Wait,3,88.6888656616211,88.6888656616211,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,0,,cube,subblock_detail_origin,Cube Wait,3,43156.0,43156.0,false,"{""block_id"": ""0"", ""block_type"": ""cube"", ""name"": ""Cube Wait"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube All Active,3,61.34353256225586,61.34353256225586,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube All Active,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube All Active"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube FP,3,61.34353256225586,61.34353256225586,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,1,,cube,subblock_detail_origin,Cube FP,3,31349.0,31349.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube FP"", ""unit"": 3}"
square,MemoryL0,visualize_json,square/OPPROF_20260730110631_RVNRKXNUAOCEMMNW/visualize_data.bin,0x06,1,1,,cube,subblock_detail,Cube INT,3,0.0,0.0,false,"{""block_id"": ""1"", ""block_type"": ""cube"", ""name"": ""Cube INT"", ""unit"": 3}"
