role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Name,,MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Type,,cube,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Task Duration(us),,29.480000,29.48,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Block Dim,,24,24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Mix Block Dim,,NA,,true,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Device Id,,5,5,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Pid,,719495,719495,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Current Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,op_basic_csv,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Rated Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,MemoryUB,visualize_json,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/visualize_data.bin,0x05,0,0,,cube,block_detail,duration_us,us,27.721666,27.721666,false,
square,MemoryUB,visualize_json,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/visualize_data.bin,0x05,0,1,,cube,block_detail,duration_us,us,28.437222,28.437222,false,
square,MemoryUB,visualize_json,square/OPPROF_20260730110848_NNBBIVRLJVUAJREI/visualize_data.bin,0x05,0,2,,cube,block_detail,duration_us,us,28.577778,28.577778,false,
