role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Name,,MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Op Type,,cube,,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Task Duration(us),,29.440001,29.440001,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Block Dim,,24,24,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Mix Block Dim,,NA,,true,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Device Id,,5,5,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Pid,,715897,715897,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Current Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,op_basic_csv,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/OpBasicInfo.csv,csv,0,,,,OpBasicInfo:MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328,Rated Freq,,1800,1800,false,"{""Op Name"": ""MatMulV2_NDNZ_ND_ND_FP16_FP16_FP16_false_true_all_197328""}"
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,0,,cube,block_detail,duration_us,us,27.402222,27.402222,false,
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,1,,cube,block_detail,duration_us,us,28.738890,28.73889,false,
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,2,,cube,block_detail,duration_us,us,28.207777,28.207777,false,
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,3,,cube,block_detail,duration_us,us,28.145555,28.145555,false,
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,4,,cube,block_detail,duration_us,us,28.657223,28.657223,false,
square,PipeUtilization,visualize_json,square/OPPROF_20260730105801_HSXGKDVINFNUMDQY/visualize_data.bin,0x05,0,5,,cube,block_detail,duration_us,us,28.088333,28.088333,false,
