Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,InputCopy,193.31,2,96.655,54.9,138.41,1743.48
host,model,ModelExecute,33.43,2,16.715,11.7,21.73,25.15
host,model,ModelLoad,181213.59,1,181213.59,181213.59,181213.59,0
host,model,OutputCopy,1.13,2,0.565,0.29,0.84,0.076
host,acl,aclnnArgMax,41.74,2,20.87,15.68,26.06,26.936
host,acl,aclnnInplaceAdds,34.45,2,17.225,15.12,19.33,4.431
host,acl,aclnnInplaceCopy,83.39,2,41.695,16.91,66.48,614.296
host,acl,aclrtGetStreamAttribute,3.13,6,0.522,0.39,0.91,0.031
host,acl,aclrtLaunchKernelWithHostArgs,131.03,10,13.103,2.84,37.25,110.075
host,acl,aclrtSynchronizeDeviceWithTimeout,4243.34,2,2121.67,8.71,4234.63,4464599.962
host,node,launch,14021.76,991,14.149,3.62,378.8,233.272
host,node,step_info,13.08,4,3.27,1.28,6.68,4.639
