Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,MatMul,AI_CORE,194,1972.28,2.72,10.166,227.22,34.857
6,IncreFlashAttention,MIX_AIC,48,892.3,15.66,18.589,27.78,15.77
6,GatherV2,AI_VECTOR_CORE,580,703.38,1,1.212,9.6,12.431
6,MatMulV2,AI_CORE,144,397.68,1.78,2.761,6.8,7.028
6,RotaryMul,AI_VECTOR_CORE,96,350.4,2.1,3.65,8.04,6.193
6,SplitVD,AI_VECTOR_CORE,96,241.98,2.32,2.52,2.8,4.277
6,Mul,AI_VECTOR_CORE,202,235.86,1,1.167,1.66,4.169
6,AutomaticBufferFusionOp,AI_VECTOR_CORE,148,196.62,0.98,1.328,2.12,3.475
6,ConcatV2D,AI_VECTOR_CORE,98,134.22,1.2,1.369,2.66,2.372
6,Cast,AI_VECTOR_CORE,106,133.68,0.98,1.261,8.96,2.363
6,Scatter,AI_VECTOR_CORE,96,122.86,1.06,1.279,1.66,2.171
6,Square,AI_VECTOR_CORE,98,117.02,1.1,1.194,1.48,2.068
6,Less,AI_VECTOR_CORE,48,63.08,1.16,1.314,1.48,1.115
6,ArgMaxV2,AI_VECTOR_CORE,2,39.12,19.08,19.56,20.04,0.691
6,Range,AI_VECTOR_CORE,2,20.32,9.66,10.16,10.66,0.359
6,Data,AI_VECTOR_CORE,2,11.38,5.04,5.69,6.34,0.201
6,Add,AI_VECTOR_CORE,4,8.88,1.28,2.22,3.4,0.157
6,LessEqual,AI_VECTOR_CORE,2,7.62,3.76,3.81,3.86,0.135
6,Cos,AI_VECTOR_CORE,2,3.5,1.74,1.75,1.76,0.062
6,Sin,AI_VECTOR_CORE,2,3.42,1.66,1.71,1.76,0.06
6,BroadcastTo,AI_VECTOR_CORE,2,2.54,1.26,1.27,1.28,0.045
