Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
mineru.text_decode.increfa,,,279.69,2663.49,0,66.86,0,0
cache_compiler inference,,,272.55,1330.44,0,0,0,0
TorchDynamo Cache Lookup,,,306.23,306.23,0,0,0,0
Torch-Compiled Region: 0/0,,,310.52,751.66,0,0,0,0
TorchNpuGraphBase::Run,,,72.13,441.14,0,0,0,0
AssembleInputs,,,61.62,61.62,0,0,0,0
AssembleOutputs,,,22.08,22.08,0,0,0,0
ExecuteGraph,,,190.72,190.72,0,0,0,0
RefreshAtTensorFromGeTensor,,,19.5,94.59,0,0,0,0
aten::empty,";
;
;
;
;
",,19.92,45.6,0,0,0,0
empty_tensor,,,25.68,25.68,0,0,0,0
aten::set_,"0;
;
;
;
",,29.49,29.49,0,0,0,0
aten::select,"1,1,151936;
;
",,16.68,31.13,0,0,0,0
aten::as_strided,"1,1,151936;
;
;
",,14.45,14.45,0,0,0,0
aten::to,"1,151936;
;
;
;
",,6.79,111.12,0,8.96,0,0
aten::_to_copy,"1,151936;
;
;
;
;
;
",,12.47,104.33,0,8.96,0,0
aten::empty,";
;
;
;
;
",,3.8,18.02,0,0,0,0
empty_tensor,,,14.22,14.22,0,0,0,0
aten::copy_,"1,151936;
1,151936;
",,53.42,73.84,0,8.96,0,0
aclnnInplaceCopy,,,20.42,20.42,8.96,8.96,0,0
aten::argmax,"1,151936;
;
",,16.67,77.95,0,20.319999999999997,0,0
aten::empty,";
;
;
;
;
",,3.58,12.16,0,0,0,0
empty_tensor,,,8.58,8.58,0,0,0,0
aten::argmax,"1,151936;
;
;
1,1",,32.97,49.12,0,20.319999999999997,0,0
aten::reshape,"1,151936;
",,4.29,11.97,0,0,0,0
aten::view,"1,151936;
",,7.68,7.68,0,0,0,0
aclnnArgMax,,,4.18,4.18,20.319999999999997,20.319999999999997,0,0
aten::add_,"1;
;
",,22.34,34.35,0,2.8,0,0
aten::item,,,3.82,7.9,0,0,0,0
aten::_local_scalar_dense,,,4.08,4.08,0,0,0,0
aclnnInplaceAdds,,,4.11,4.11,2.8,2.8,0,0
cache_compiler inference,,,151.53,643.76,0,0,0,0
TorchDynamo Cache Lookup,,,144.05,144.05,0,0,0,0
Torch-Compiled Region: 0/0,,,171.98,348.18,0,0,0,0
TorchNpuGraphBase::Run,,,29.59,176.2,0,0,0,0
AssembleInputs,,,28.43,28.43,0,0,0,0
AssembleOutputs,,,7.35,7.35,0,0,0,0
ExecuteGraph,,,77.92,77.92,0,0,0,0
RefreshAtTensorFromGeTensor,,,8.09,32.91,0,0,0,0
aten::empty,";
;
;
;
;
",,8.33,18.29,0,0,0,0
empty_tensor,,,9.96,9.96,0,0,0,0
aten::set_,"0;
;
;
;
",,6.53,6.53,0,0,0,0
aten::select,"1,1,151936;
;
",,7.62,14.03,0,0,0,0
aten::as_strided,"1,1,151936;
;
;
",,6.41,6.41,0,0,0,0
aten::to,"1,151936;
;
;
;
",,4.17,61.17,0,8.74,0,0
aten::_to_copy,"1,151936;
;
;
;
;
;
",,7.21,57.0,0,8.74,0,0
aten::empty,";
;
;
;
;
",,3.06,14.61,0,0,0,0
empty_tensor,,,11.55,11.55,0,0,0,0
aten::copy_,"1,151936;
1,151936;
",,20.59,35.18,0,8.74,0,0
aclnnInplaceCopy,,,14.59,14.59,8.74,8.74,0,0
aten::argmax,"1,151936;
;
",,7.06,53.12,0,22.64,0,0
aten::empty,";
;
;
;
;
",,3.05,10.33,0,0,0,0
empty_tensor,,,7.28,7.28,0,0,0,0
aten::argmax,"1,151936;
;
;
1,1",,20.2,35.73,0,22.64,0,0
aten::reshape,"1,151936;
",,2.29,6.27,0,0,0,0
aten::view,"1,151936;
",,3.98,3.98,0,0,0,0
aclnnArgMax,,,9.26,9.26,22.64,22.64,0,0
aten::add_,"1;
;
",,13.99,26.73,0,3.4,0,0
aten::item,,,2.07,3.41,0,0,0,0
aten::_local_scalar_dense,,,1.34,1.34,0,0,0,0
aclnnInplaceAdds,,,9.33,9.33,3.4,3.4,0,0
